split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,420,322560,7775,1119600,1442160
train,1,346,265728,5277,759888,1025616
train,2,380,291840,6365,916560,1208400
train,3,290,222720,3707,533808,756528
train,4,125,96000,689,99216,195216
train,5,358,274944,5649,813456,1088400
train,6,121,92928,646,93024,185952
train,7,609,467712,14697,2116368,2584080
train,8,199,152832,1746,251424,404256
train,9,244,187392,2624,377856,565248
train,10,352,270336,5461,786384,1056720
train,11,114,87552,573,82512,170064
train,12,266,204288,3119,449136,653424
train,13,289,221952,3682,530208,752160
train,14,310,238080,4236,609984,848064
train,15,170,130560,1274,183456,314016
train,16,375,288000,6198,892512,1180512
train,17,263,201984,3049,439056,641040
train,18,395,303360,6877,990288,1293648
train,19,102,78336,459,66096,144432
train,20,217,166656,2076,298944,465600
train,21,158,121344,1101,158544,279888
train,22,220,168960,2134,307296,476256
train,23,245,188160,2646,381024,569184
train,24,436,334848,8379,1206576,1541424
train,25,414,317952,7555,1087920,1405872
train,26,309,237312,4209,606096,843408
train,27,410,314880,7409,1066896,1381776
train,28,213,163584,2000,288000,451584
train,29,158,121344,1101,158544,279888
train,30,158,121344,1101,158544,279888
train,31,313,240384,4318,621792,862176
train,32,395,303360,6877,990288,1293648
train,33,596,457728,14223,2048112,2505840
train,34,416,319488,7628,1098432,1417920
train,35,329,252672,4771,687024,939696
train,36,304,233472,4074,586656,820128
train,37,263,201984,3049,439056,641040
train,38,192,147456,1625,234000,381456
train,39,421,323328,7812,1124928,1448256
train,40,391,300288,6738,970272,1270560
train,41,342,262656,5155,742320,1004976
train,42,171,131328,1289,185616,316944
train,43,303,232704,4047,582768,815472
train,44,211,162048,1963,282672,444720
train,45,274,210432,3309,476496,686928
train,46,353,271104,5492,790848,1061952
train,47,421,323328,7812,1124928,1448256
train,48,256,196608,2889,416016,612624
train,49,253,194304,2822,406368,600672
train,50,459,352512,9286,1337184,1689696
train,51,220,168960,2134,307296,476256
train,52,306,235008,4127,594288,829296
train,53,444,340992,8689,1251216,1592208
train,54,95,72960,398,57312,130272
train,55,185,142080,1509,217296,359376
train,56,169,129792,1259,181296,311088
train,57,374,287232,6165,887760,1174992
train,58,444,340992,8689,1251216,1592208
train,59,553,424704,12762,1837728,2262432
train,60,213,163584,2000,288000,451584
train,61,224,172032,2212,318528,490560
train,62,360,276480,5712,822528,1099008
train,63,351,269568,5430,781920,1051488
train,64,351,269568,5430,781920,1051488
train,65,219,168192,2114,304416,472608
train,66,105,80640,486,69984,150624
train,67,85,65280,319,45936,111216
train,68,228,175104,2292,330048,505152
train,69,366,281088,5904,850176,1131264
train,70,253,194304,2822,406368,600672
train,71,186,142848,1525,219600,362448
train,72,104,79872,477,68688,148560
train,73,272,208896,3261,469584,678480
train,74,151,115968,1005,144720,260688
train,75,81,62208,290,41760,103968
train,76,360,276480,5712,822528,1099008
train,77,279,214272,3431,494064,708336
train,78,395,303360,6877,990288,1293648
train,79,261,200448,3003,432432,632880
train,80,410,314880,7409,1066896,1381776
train,81,296,227328,3862,556128,783456
train,82,250,192000,2755,396720,588720
train,83,401,307968,7088,1020672,1328640
train,84,410,314880,7409,1066896,1381776
train,85,145,111360,927,133488,244848
train,86,464,356352,9489,1366416,1722768
train,87,233,178944,2393,344592,523536
train,88,307,235776,4154,598176,833952
train,89,395,303360,6877,990288,1293648
train,90,364,279552,5840,840960,1120512
train,91,457,350976,9205,1325520,1676496
train,92,572,439296,13388,1927872,2367168
train,93,207,158976,1889,272016,430992
train,94,207,158976,1889,272016,430992
train,95,347,266496,5307,764208,1030704
train,96,400,307200,7052,1015488,1322688
train,97,154,118272,1046,150624,268896
train,98,339,260352,5065,729360,989712
train,99,184,141312,1493,214992,356304
train,100,341,261888,5125,738000,999888
train,101,296,227328,3862,556128,783456
train,102,258,198144,2934,422496,620640
train,103,318,244224,4457,641808,886032
train,104,366,281088,5904,850176,1131264
train,105,448,344064,8846,1273824,1617888
train,106,118,90624,614,88416,179040
train,107,210,161280,1944,279936,441216
train,108,234,179712,2414,347616,527328
train,109,256,196608,2889,416016,612624
train,110,271,208128,3237,466128,674256
train,111,187,143616,1542,222048,365664
train,112,298,228864,3914,563616,792480
train,113,357,274176,5618,808992,1083168
train,114,189,145152,1575,226800,371952
train,115,459,352512,9286,1337184,1689696
train,116,415,318720,7591,1093104,1411824
train,117,361,277248,5744,827136,1104384
train,118,162,124416,1157,166608,291024
train,119,416,319488,7628,1098432,1417920
train,120,639,490752,15848,2282112,2772864
train,121,315,241920,4374,629856,871776
train,122,204,156672,1835,264240,420912
train,123,336,258048,4976,716544,974592
train,124,285,218880,3580,515520,734400
train,125,186,142848,1525,219600,362448
train,126,117,89856,604,86976,176832
train,127,213,163584,2000,288000,451584
train,128,240,184320,2539,365616,549936
train,129,418,321024,7701,1108944,1429968
train,130,216,165888,2057,296208,462096
train,131,403,309504,7158,1030752,1340256
train,132,193,148224,1642,236448,384672
train,133,241,185088,2560,368640,553728
train,134,153,117504,1032,148608,266112
train,135,130,99840,745,107280,207120
train,136,175,134400,1350,194400,328800
train,137,315,241920,4374,629856,871776
train,138,701,538368,18443,2655792,3194160
train,139,434,333312,8302,1195488,1528800
train,140,324,248832,4627,666288,915120
train,141,202,155136,1799,259056,414192
train,142,218,167424,2095,301680,469104
train,143,304,233472,4074,586656,820128
train,144,409,314112,7373,1061712,1375824
train,145,269,206592,3190,459360,665952
train,146,101,77568,450,64800,142368
train,147,161,123648,1143,164592,288240
train,148,307,235776,4154,598176,833952
train,149,228,175104,2292,330048,505152
train,150,324,248832,4627,666288,915120
train,151,99,76032,432,62208,138240
train,152,166,127488,1215,174960,302448
train,153,371,284928,6067,873648,1158576
train,154,291,223488,3733,537552,761040
train,155,213,163584,2000,288000,451584
train,156,324,248832,4627,666288,915120
train,157,469,360192,9695,1396080,1756272
train,158,372,285696,6100,878400,1164096
train,159,282,216576,3505,504720,721296
train,160,109,83712,524,75456,159168
train,161,171,131328,1289,185616,316944
train,162,184,141312,1493,214992,356304
train,163,152,116736,1019,146736,263472
train,164,442,339456,8611,1239984,1579440
train,165,349,268032,5369,773136,1041168
train,166,330,253440,4800,691200,944640
train,167,139,106752,852,122688,229440
train,168,121,92928,646,93024,185952
train,169,87,66816,334,48096,114912
train,170,141,108288,877,126288,234576
train,171,485,372480,10368,1492992,1865472
train,172,184,141312,1493,214992,356304
train,173,441,338688,8572,1234368,1573056
train,174,340,261120,5095,733680,994800
train,175,318,244224,4457,641808,886032
train,176,245,188160,2646,381024,569184
train,177,358,274944,5649,813456,1088400
train,178,380,291840,6365,916560,1208400
train,179,398,305664,6982,1005408,1311072
train,180,355,272640,5555,799920,1072560
train,181,92,70656,373,53712,124368
train,182,132,101376,768,110592,211968
train,183,355,272640,5555,799920,1072560
train,184,250,192000,2755,396720,588720
train,185,388,297984,6635,955440,1253424
train,186,266,204288,3119,449136,653424
train,187,334,256512,4917,708048,964560
train,188,298,228864,3914,563616,792480
train,189,322,247296,4570,658080,905376
train,190,492,377856,10669,1536336,1914192
train,191,388,297984,6635,955440,1253424
train,192,271,208128,3237,466128,674256
train,193,336,258048,4976,716544,974592
train,194,250,192000,2755,396720,588720
train,195,266,204288,3119,449136,653424
train,196,421,323328,7812,1124928,1448256
train,197,119,91392,625,90000,181392
train,198,229,175872,2312,332928,508800
train,199,341,261888,5125,738000,999888
train,200,463,355584,9448,1360512,1716096
train,201,318,244224,4457,641808,886032
train,202,487,374016,10453,1505232,1879248
train,203,387,297216,6601,950544,1247760
train,204,224,172032,2212,318528,490560
train,205,262,201216,3026,435744,636960
train,206,269,206592,3190,459360,665952
train,207,574,440832,13455,1937520,2378352
train,208,299,229632,3941,567504,797136
train,209,344,264192,5216,751104,1015296
train,210,374,287232,6165,887760,1174992
train,211,404,310272,7194,1035936,1346208
train,212,156,119808,1073,154512,274320
train,213,399,306432,7017,1010448,1316880
train,214,188,144384,1558,224352,368736
train,215,410,314880,7409,1066896,1381776
train,216,267,205056,3142,452448,657504
train,217,227,174336,2272,327168,501504
train,218,199,152832,1746,251424,404256
train,219,90,69120,357,51408,120528
train,220,273,209664,3285,473040,682704
train,221,399,306432,7017,1010448,1316880
train,222,300,230400,3967,571248,801648
train,223,99,76032,432,62208,138240
train,224,239,183552,2518,362592,546144
train,225,350,268800,5399,777456,1046256
train,226,258,198144,2934,422496,620640
train,227,333,255744,4888,703872,959616
train,228,310,238080,4236,609984,848064
train,229,168,129024,1244,179136,308160
train,230,132,101376,768,110592,211968
train,231,618,474624,15034,2164896,2639520
train,232,432,331776,8226,1184544,1516320
train,233,273,209664,3285,473040,682704
train,234,174,133632,1335,192240,325872
train,235,219,168192,2114,304416,472608
train,236,380,291840,6365,916560,1208400
train,237,247,189696,2689,387216,576912
train,238,371,284928,6067,873648,1158576
train,239,506,388608,11285,1625040,2013648
train,240,285,218880,3580,515520,734400
train,241,576,442368,13523,1947312,2389680
train,242,255,195840,2866,412704,608544
train,243,264,202752,3072,442368,645120
train,244,267,205056,3142,452448,657504
train,245,225,172800,2232,321408,494208
