split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,129,1090,837120,18063,2601072,3438192
train,130,1500,1152000,26666,3839904,4991904
train,131,1351,1037568,23515,3386160,4423728
train,132,1041,799488,17058,2456352,3255840
train,133,1109,851712,18483,2661552,3513264
train,134,1165,894720,19644,2828736,3723456
train,135,1414,1085952,24835,3576240,4662192
train,136,1247,957696,21385,3079440,4037136
train,137,1449,1112832,25539,3677616,4790448
train,138,1687,1295616,30502,4392288,5687904
train,139,1187,911616,20080,2891520,3803136
train,140,1233,946944,21066,3033504,3980448
train,141,1165,894720,19644,2828736,3723456
train,142,992,761856,16059,2312496,3074352
train,143,1317,1011456,22788,3281472,4292928
train,144,1337,1026816,23209,3342096,4368912
train,145,1196,918528,20265,2918160,3836688
train,146,1275,979200,21965,3162960,4142160
train,147,1225,940800,20887,3007728,3948528
train,148,1266,972288,21799,3139056,4111344
train,149,1018,781824,16624,2393856,3175680
train,150,2164,1661952,40467,5827248,7489200
train,151,1336,1026048,23187,3338928,4364976
train,152,1254,963072,21548,3102912,4065984
train,153,1756,1348608,32017,4610448,5959056
train,154,1066,818688,17557,2528208,3346896
train,155,1092,838656,18106,2607264,3445920
train,156,2220,1704960,41620,5993280,7698240
train,157,1267,973056,21817,3141648,4114704
train,158,1167,896256,19682,2834208,3730464
train,159,1485,1140480,26323,3790512,4930992
train,160,1184,909312,20019,2882736,3792048
train,161,1199,920832,20328,2927232,3848064
train,162,1117,857856,18665,2687760,3545616
train,163,1414,1085952,24835,3576240,4662192
train,164,1030,791040,16847,2425968,3217008
train,165,1067,819456,17577,2531088,3350544
train,166,1586,1218048,28398,4089312,5307360
train,167,2100,1612800,39125,5634000,7246800
train,168,1082,830976,17891,2576304,3407280
train,169,1405,1079040,24663,3551472,4630512
train,170,1472,1130496,26032,3748608,4879104
train,171,1304,1001472,22524,3243456,4244928
train,172,1092,838656,18106,2607264,3445920
train,173,1317,1011456,22788,3281472,4292928
train,174,1263,969984,21744,3131136,4101120
train,175,1237,950016,21156,3046464,3996480
train,176,1181,907008,19959,2874096,3781104
train,177,1216,933888,20690,2979360,3913248
train,178,1358,1042944,23671,3408624,4451568
train,179,1135,871680,19085,2748240,3619920
train,180,1092,838656,18106,2607264,3445920
train,181,1219,936192,20755,2988720,3924912
train,182,1184,909312,20019,2882736,3792048
train,183,1117,857856,18665,2687760,3545616
train,184,1029,790272,16828,2423232,3213504
train,185,1383,1062144,24248,3491712,4553856
train,186,1079,828672,17828,2567232,3395904
train,187,1527,1172736,27213,3918672,5091408
train,188,1426,1095168,25070,3610080,4705248
train,189,1275,979200,21964,3162816,4142016
train,190,1053,808704,17293,2490192,3298896
train,191,1224,940032,20865,3004560,3944592
train,192,1120,860160,18734,2697696,3557856
train,193,1080,829440,17849,2570256,3399696
train,194,1355,1040640,23604,3398976,4439616
train,195,1116,857088,18642,2684448,3541536
train,196,1346,1033728,23405,3370320,4404048
train,197,1394,1070592,24459,3522096,4592688
train,198,1285,986880,22153,3190032,4176912
train,199,1045,802560,17136,2467584,3270144
train,200,1138,873984,19139,2756016,3630000
train,201,1337,1026816,23209,3342096,4368912
train,202,1138,873984,19139,2756016,3630000
train,203,1206,926208,20475,2948400,3874608
train,204,1353,1039104,23559,3392496,4431600
train,205,1325,1017600,22954,3305376,4322976
train,206,1230,944640,20998,3023712,3968352
train,207,1413,1085184,24816,3573504,4658688
train,208,1068,820224,17598,2534112,3354336
train,209,1184,909312,20019,2882736,3792048
train,210,1224,940032,20865,3004560,3944592
train,211,1451,1114368,25581,3683664,4798032
train,212,1135,871680,19085,2748240,3619920
train,213,1130,867840,18967,2731248,3599088
train,214,1183,908544,19999,2879856,3788400
train,215,1109,851712,18483,2661552,3513264
train,216,1049,805632,17214,2478816,3284448
train,217,1195,917760,20245,2915280,3833040
train,218,1170,898560,19741,2842704,3741264
train,219,1270,975360,21872,3149568,4124928
train,220,1138,873984,19139,2756016,3630000
train,221,1196,918528,20265,2918160,3836688
train,222,1265,971520,21780,3136320,4107840
train,223,1253,962304,21525,3099600,4061904
train,224,1422,1092096,24991,3598704,4690800
train,225,1110,852480,18505,2664720,3517200
train,226,1150,883200,19359,2787696,3670896
train,227,1130,867840,18967,2731248,3599088
train,228,1171,899328,19760,2845440,3744768
train,229,1284,986112,22134,3187296,4173408
train,230,1280,983040,22058,3176352,4159392
train,231,1323,1016064,22912,3299328,4315392
train,232,1043,801024,17096,2461824,3262848
train,233,1957,1502976,36129,5202576,6705552
train,234,1204,924672,20433,2942352,3867024
train,235,1230,944640,20998,3023712,3968352
train,236,1123,862464,18803,2707632,3570096
train,237,1218,935424,20734,2985696,3921120
train,238,1290,990720,22249,3203856,4194576
train,239,1210,929280,20561,2960784,3890064
train,240,1111,853248,18528,2668032,3521280
train,241,1299,997632,22425,3229200,4226832
train,242,1050,806400,17234,2481696,3288096
