[I 2024-11-12 17:49:53,860] Using an existing study with name 'R8-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-12 19:51:56,846] Trial 206 finished with value: 0.9562187120584289 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.801102715693383, 'batch_size': 141, 'attention_heads': 14, 'hidden_dimension': 69, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5936003881752566, 'global_pooling': 'max', 'learning_rate': 0.00020411824040621768, 'weight_decay': 1.7787615313542676e-05, 'beta_0': 0.8427104853296414, 'beta_1': 0.989861448606135, 'epsilon': 2.0834755466184353e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 20:02:46,523] Trial 207 finished with value: 0.9536723078142271 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8015332992210156, 'batch_size': 138, 'attention_heads': 14, 'hidden_dimension': 74, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5935601671070072, 'global_pooling': 'max', 'learning_rate': 0.0001944745990969023, 'weight_decay': 1.814777535567534e-05, 'beta_0': 0.84098298090328, 'beta_1': 0.9909704154069426, 'epsilon': 2.7186836462518285e-06, 'balanced_loss': False, 'epochs': 51, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 20:14:38,522] Trial 208 finished with value: 0.9526842183896713 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8019106729229554, 'batch_size': 136, 'attention_heads': 14, 'hidden_dimension': 84, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5953260813143431, 'global_pooling': 'max', 'learning_rate': 0.00019358290269949952, 'weight_decay': 1.7600676378671483e-05, 'beta_0': 0.841849763656964, 'beta_1': 0.9900879828352993, 'epsilon': 2.881906613168009e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 20:26:14,880] Trial 209 finished with value: 0.9562779787941005 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8032132182186074, 'batch_size': 131, 'attention_heads': 14, 'hidden_dimension': 81, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5998667837969234, 'global_pooling': 'max', 'learning_rate': 0.00019419075242765733, 'weight_decay': 1.8243875815271948e-05, 'beta_0': 0.8408362461894091, 'beta_1': 0.9899072436600842, 'epsilon': 2.816504831997908e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 20:37:03,494] Trial 210 finished with value: 0.9563807378840865 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7995433211763583, 'batch_size': 131, 'attention_heads': 13, 'hidden_dimension': 74, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5990478785779053, 'global_pooling': 'max', 'learning_rate': 0.00018461505433211065, 'weight_decay': 2.180314328058523e-05, 'beta_0': 0.8418059227522001, 'beta_1': 0.9907924538973795, 'epsilon': 2.21319909735399e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 20:47:29,392] Trial 211 finished with value: 0.9550584570150564 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.807170007007605, 'batch_size': 130, 'attention_heads': 13, 'hidden_dimension': 70, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5999657091341185, 'global_pooling': 'max', 'learning_rate': 0.00016039912885334662, 'weight_decay': 1.4359974273422835e-05, 'beta_0': 0.8404398539009127, 'beta_1': 0.9904564703465437, 'epsilon': 3.5341071913985134e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 20:58:09,239] Trial 212 finished with value: 0.9534698476113608 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8076371362269238, 'batch_size': 127, 'attention_heads': 13, 'hidden_dimension': 74, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5963917288779633, 'global_pooling': 'max', 'learning_rate': 0.00016393462860686333, 'weight_decay': 1.477708457426205e-05, 'beta_0': 0.8405539918612464, 'beta_1': 0.9906437166181293, 'epsilon': 3.395910450583605e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 21:09:49,203] Trial 213 finished with value: 0.944404749421945 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7816865749167333, 'batch_size': 130, 'attention_heads': 13, 'hidden_dimension': 75, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5982964473962605, 'global_pooling': 'max', 'learning_rate': 0.0001939818700149971, 'weight_decay': 1.2003223210026522e-05, 'beta_0': 0.8430410535778643, 'beta_1': 0.9905503726224717, 'epsilon': 2.4726492314541293e-06, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 21:21:10,926] Trial 214 finished with value: 0.9552417238839699 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8014003929278554, 'batch_size': 119, 'attention_heads': 13, 'hidden_dimension': 82, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5902099765617694, 'global_pooling': 'max', 'learning_rate': 0.00015497217299564685, 'weight_decay': 1.8856032987771278e-05, 'beta_0': 0.8396089737029848, 'beta_1': 0.9899017072894831, 'epsilon': 2.075406127435368e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
[I 2024-11-12 21:31:45,057] Trial 215 finished with value: 0.9576154719790761 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8002048676514387, 'batch_size': 112, 'attention_heads': 13, 'hidden_dimension': 69, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5995492324357615, 'global_pooling': 'max', 'learning_rate': 0.0001426839899016478, 'weight_decay': 1.7549875931882705e-05, 'beta_0': 0.8400154557516627, 'beta_1': 0.989794110114709, 'epsilon': 2.2052507954215075e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 205 with value: 0.9619576531312704.
