Sup;Conf;Lift;Conv;Chi2;Lapl;Leve;Jacc;Cosi;Phi;MI;WRA;Entp;Gini;Cons;Ant
0.16033934252386003;0.8016967126193001;1.0849598163030998;1.3165775401069517;24.08069009448788;0.801058201058201;0.012555673382820792;0.2059384363933533;0.4170872134348486;0.07146503582589593;2.6187647383951194;0.012555673382820777;0.002670787249903106;9.852808381003442E-4;correct=True;type_token_ratio=(0.302 - 0.498]
0.15567338282078472;0.7758985200845666;1.0500463611362605;1.1650153064287;8.389031021804367;0.7753164556962026;0.007419564149074076;0.1985930735930736;0.40430714705126974;0.04218082324705653;2.603309589777717;0.007419564149074104;9.119807787737466E-4;3.432439636729123E-4;correct=True;percentage_polysyllabic_words=(0.056 - 0.185]
0.15291622481442205;0.771948608137045;1.044700828750335;1.144836925405384;6.586779714759675;0.7713675213675214;0.006543004265396946;0.19502299161482284;0.39968951298851874;0.037376249582091854;2.651131093893141;0.006543004265396986;7.14095185092356E-4;2.6950339929104894E-4;correct=True;length=(247.0 - 597.0]
0.15227995758218452;0.7638297872340426;1.0337133888658183;1.1054808785455659;3.7767436527547398;0.7632696390658175;0.004966437971816673;0.19373988127361036;0.3967541190821124;0.028302050754959767;2.6262553525986476;0.004966437971816671;4.070920498924213E-4;1.545285096429816E-4;correct=True;Flesch_Reading_ease_score=(45.56 - 83.66]
0.15164369034994699;0.7598299681190224;1.0283003156375403;1.0870700738557983;2.6648457559807035;0.7592788971367974;0.004173454229355333;0.192722371967655;0.3948863819521913;0.023773613058022947;2.6220007335357525;0.004173454229355337;2.8645324039400233E-4;1.090343112908343E-4;correct=True;average_sentence_length=(14.818 - 17.4]
0.15249204665959704;0.7552521008403361;1.0221049527733022;1.0667370596079535;1.6496192021450762;0.7547169811320755;0.003297928926543625;0.19343556631692224;0.39479472659764797;0.01870471102863964;2.578191810659879;0.0032979289265436247;1.767693575387974E-4;6.74954988273968E-5;correct=True;unique_words=(92.0 - 108.0]
0.15015906680805938;0.7523910733262487;1.0182330398201098;1.0544113162721473;1.1061338401514722;0.7518557794273595;0.002688830687467725;0.19047619047619047;0.3910203614295824;0.015316621874698177;2.6216643268295448;0.0026888306874677317;1.1831251774729878E-4;4.5258357330990595E-5;correct=True;average_syllables_per_word=(1.791 - 1.866]
0.15015906680805938;0.7515923566878981;1.0171521130262455;1.0510210185713897;0.9801694173643775;0.7510593220338984;0.002532114177243916;0.1904249596557289;0.3908127583560531;0.014418156173268724;2.6176328369173825;0.0025321141772439494;1.0478402012548127E-4;4.0104421477504815E-5;correct=True;percentage_monosyllabic_words=(0.537 - 0.572]
0.1503711558854719;0.7502645502645503;1.0153551534148548;1.0454328953753798;0.7886795292449227;0.7497360084477297;0.0022740537239850644;0.19059139784946236;0.39074304607153587;0.012933302506772564;2.6056291230910884;0.002274053723985072;8.423914901833918E-5;3.2269458413336505E-5;correct=True;Flesch_Reading_ease_score=(37.71 - 45.56]
0.15418875927889714;0.7502579979360166;1.015346285955315;1.045405466990351;0.8129509955515644;0.7497425334706488;0.0023304608720391973;0.1951154052603328;0.3956702971792125;0.013130804492799089;2.5125849371058124;0.0023304608720392177;8.682467097509416E-5;3.326254501373471E-5;correct=True;length=(161.6 - 200.0]
0.7389183457051962;0.7389183457051962;1.0;1.0;0.0;0.7388170447318211;0.0;0.7389183457051962;0.859603598006195;0.0;-1.0;0.0;0.0;0.0;correct=True;
0.15185577942735948;0.7181544633901705;0.9718996253974322;0.9263288588324533;2.825607159373971;0.7177177177177178;-0.00439058126576472;0.19017264276228418;0.384172585096706;-0.024480204565358966;2.410063846633777;-0.00439058126576471;2.960685712671274E-4;1.156119936431832E-4;correct=True;average_sentence_length=(17.4 - 20.0]
