test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9492537313432836,0.9333333333333333,0.0020056582208889634,13,37
0.9402985074626866,0.9575757575757575,0.002008304311268365,19,38
0.9283582089552239,0.9393939393939394,0.002004987090381224,10,39
0.9283582089552239,0.9393939393939394,0.0020199868216443416,27,40
0.9462686567164179,0.9333333333333333,0.0020132712463834393,19,41
0.9641791044776119,0.9575757575757575,0.0020102991986630566,31,42
0.9313432835820895,0.9454545454545454,0.0020035174355578066,25,43
0.9313432835820895,0.9393939393939394,0.002005708039696537,25,44
0.9432835820895522,0.9393939393939394,0.0020067385773160566,20,45
0.9223880597014925,0.9272727272727272,0.0020078723110369782,8,46
