test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.6148468132085391,0.6091242341610009,0.0008666218727672274,9,37
0.6342826210203097,0.6099805350698463,0.0008658675784201366,19,38
0.6325438841074111,0.6207125388962386,0.0009149221863276057,26,39
0.6292029473086052,0.6102644842322679,0.0008691169824630885,19,40
0.6037618297800328,0.6114792590620504,0.000868021306677853,17,41
0.6137371692262102,0.6072853567854881,0.000869721432236967,16,42
0.6413221473853971,0.6040557646611281,0.0008665409649535921,23,43
0.6364954916962912,0.5977286183461491,0.0009142056922053984,21,44
0.6377632050415862,0.6167639143985635,0.0008677718605760475,20,45
0.6222361009824968,0.6256413864205095,0.0008664252644212654,21,46
