test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9014925373134328,0.9151515151515152,0.0038844478664113516,6,37
0.8985074626865671,0.9272727272727272,0.004071620684951099,28,38
0.9074626865671642,0.9030303030303031,0.00402955439553332,22,39
0.9134328358208955,0.8909090909090909,0.0038692218154223997,6,40
0.9194029850746268,0.896969696969697,0.00390572120894247,11,41
0.9194029850746268,0.9272727272727272,0.003900257509146164,26,42
0.9104477611940298,0.9151515151515152,0.003949893410526105,11,43
0.9014925373134328,0.9212121212121213,0.0040089785163082295,21,44
0.8895522388059701,0.9151515151515152,0.0040014366605388586,33,45
0.9164179104477612,0.9151515151515152,0.004082348809313418,15,46
