test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9557115909813971,0.9426613893613399,0.0011479843692073762,36,37
0.9527396597579395,0.954363593351792,0.001148058868206054,24,38
0.9519866801433916,0.9518463747007488,0.0011486387405290949,8,39
0.9481791927752043,0.9450325224028118,0.0011463856904024182,11,40
0.9433992821615251,0.9552137980410467,0.0011396970091044711,25,41
0.9541520606846536,0.962927731802673,0.0011386739548726297,21,42
0.9467447010714618,0.9626961284308052,0.0011411884049946665,27,43
0.9516850595333178,0.9592606079968009,0.0011407494708357906,28,44
0.96091732292045,0.9493703173416709,0.001140322735343365,31,45
0.9399607362549687,0.9569736679428704,0.0011415628604880203,23,46
