split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,550,563200,6254,6254,569454
train,1,596,610304,7084,7084,617388
train,2,493,504832,5701,5701,510533
train,3,510,522240,6678,6678,528918
train,4,610,624640,7168,7168,631808
train,5,371,379904,4859,4859,384763
train,6,477,488448,5725,5725,494173
train,7,544,557056,7042,7042,564098
train,8,579,592896,6927,6927,599823
train,9,448,458752,5230,5230,463982
train,10,663,678912,9005,9005,687917
train,11,460,471040,5978,5978,477018
train,12,452,462848,5660,5660,468508
train,13,584,598016,7204,7204,605220
train,14,581,594944,6353,6353,601297
train,15,444,454656,5718,5718,460374
train,16,433,443392,5351,5351,448743
train,17,706,722944,8222,8222,731166
train,18,520,532480,6318,6318,538798
train,19,439,449536,5157,5157,454693
train,20,496,507904,5788,5788,513692
train,21,474,485376,5666,5666,491042
train,22,517,529408,6347,6347,535755
train,23,547,560128,6251,6251,566379
train,24,529,541696,6585,6585,548281
train,25,503,515072,5755,5755,520827
train,26,480,491520,5594,5594,497114
train,27,603,617472,7081,7081,624553
train,28,532,544768,6740,6740,551508
train,29,583,596992,6529,6529,603521
train,30,491,502784,5721,5721,508505
train,31,414,423936,5472,5472,429408
train,32,550,563200,5932,5932,569132
train,33,483,494592,6003,6003,500595
train,34,763,781312,10835,10835,792147
train,35,551,564224,6313,6313,570537
train,36,422,432128,5300,5300,437428
train,37,549,562176,6947,6947,569123
train,38,484,495616,6422,6422,502038
train,39,578,591872,7364,7364,599236
train,40,542,555008,6560,6560,561568
train,41,580,593920,6934,6934,600854
train,42,388,397312,5036,5036,402348
train,43,527,539648,6415,6415,546063
train,44,513,525312,6335,6335,531647
train,45,493,504832,6287,6287,511119
train,46,827,846848,13779,13779,860627
train,47,566,579584,7864,7864,587448
train,48,468,479232,5586,5586,484818
train,49,566,579584,6820,6820,586404
train,50,560,573440,6790,6790,580230
train,51,468,479232,6018,6018,485250
train,52,559,572416,6881,6881,579297
train,53,494,505856,5802,5802,511658
train,54,447,457728,6033,6033,463761
train,55,616,630784,7694,7694,638478
train,56,513,525312,6697,6697,532009
train,57,636,651264,8170,8170,659434
train,58,515,527360,6295,6295,533655
train,59,523,535552,6497,6497,542049
train,60,454,464896,5342,5342,470238
train,61,550,563200,6378,6378,569578
train,62,507,519168,6351,6351,525519
train,63,601,615424,6275,6275,621699
train,64,565,578560,7059,7059,585619
train,65,563,576512,6983,6983,583495
train,66,525,537600,5929,5929,543529
train,67,692,708608,7972,7972,716580
train,68,512,524288,6380,6380,530668
train,69,480,491520,5848,5848,497368
train,70,429,439296,5223,5223,444519
train,71,485,496640,6095,6095,502735
train,72,566,579584,6608,6608,586192
train,73,545,558080,6333,6333,564413
train,74,424,434176,5408,5408,439584
train,75,437,447488,5521,5521,453009
train,76,534,546816,6360,6360,553176
train,77,542,555008,6542,6542,561550
train,78,495,506880,5831,5831,512711
train,79,474,485376,5712,5712,491088
train,80,650,665600,7444,7444,673044
train,81,486,497664,6290,6290,503954
train,82,449,459776,5461,5461,465237
train,83,621,635904,7107,7107,643011
train,84,610,624640,6786,6786,631426
train,85,514,526336,6422,6422,532758
train,86,546,559104,6566,6566,565670
train,87,488,499712,5704,5704,505416
train,88,526,538624,6098,6098,544722
train,89,521,533504,6339,6339,539843
train,90,610,624640,6394,6394,631034
train,91,477,488448,5589,5589,494037
train,92,548,561152,5978,5978,567130
train,93,490,501760,5800,5800,507560
train,94,404,413696,5188,5188,418884
train,95,471,482304,5691,5691,487995
train,96,474,485376,6238,6238,491614
train,97,554,567296,6820,6820,574116
train,98,421,431104,5597,5597,436701
train,99,515,527360,7265,7265,534625
train,100,484,495616,5928,5928,501544
train,101,453,463872,5357,5357,469229
train,102,673,689152,7999,7999,697151
train,103,575,588800,6203,6203,595003
train,104,521,533504,6215,6215,539719
train,105,610,624640,7224,7224,631864
train,106,461,472064,5755,5755,477819
train,107,550,563200,6546,6546,569746
train,108,513,525312,6059,6059,531371
train,109,650,665600,7536,7536,673136
train,110,671,687104,7633,7633,694737
train,111,433,443392,5265,5265,448657
train,112,571,584704,6437,6437,591141
train,113,639,654336,7539,7539,661875
train,114,494,505856,5674,5674,511530
train,115,524,536576,6462,6462,543038
train,116,454,464896,6076,6076,470972
train,117,569,582656,6455,6455,589111
train,118,516,528384,6496,6496,534880
train,119,555,568320,6805,6805,575125
train,120,497,508928,6181,6181,515109
train,121,535,547840,6891,6891,554731
train,122,564,577536,6514,6514,584050
train,123,467,478208,6249,6249,484457
train,124,492,503808,6274,6274,510082
train,125,595,609280,6867,6867,616147
train,126,460,471040,5644,5644,476684
train,127,515,527360,6413,6413,533773
train,128,554,567296,6756,6756,574052
train,129,412,421888,5464,5464,427352
train,130,577,590848,7317,7317,598165
train,131,584,598016,7156,7156,605172
train,132,478,489472,5624,5624,495096
train,133,473,484352,5745,5745,490097
train,134,532,544768,6406,6406,551174
train,135,607,621568,7351,7351,628919
train,136,574,587776,6686,6686,594462
train,137,602,616448,7634,7634,624082
train,138,725,742400,8715,8715,751115
train,139,518,530432,6258,6258,536690
train,140,576,589824,6686,6686,596510
train,141,602,616448,6856,6856,623304
train,142,427,437248,5117,5117,442365
train,143,577,590848,7029,7029,597877
train,144,441,451584,6169,6169,457753
train,145,502,514048,6110,6110,520158
train,146,507,519168,6767,6767,525935
train,147,619,633856,6869,6869,640725
train,148,532,544768,6408,6408,551176
train,149,491,502784,5659,5659,508443
train,150,833,852992,10889,10889,863881
train,151,595,609280,7319,7319,616599
train,152,546,559104,6692,6692,565796
train,153,709,726016,8821,8821,734837
train,154,528,540672,5746,5746,546418
train,155,472,483328,5642,5642,488970
train,156,740,757760,10570,10570,768330
train,157,545,558080,6561,6561,564641
train,158,491,502784,5931,5931,508715
train,159,644,659456,7730,7730,667186
train,160,496,507904,6086,6086,513990
train,161,529,541696,6423,6423,548119
train,162,481,492544,5769,5769,498313
train,163,611,625664,7211,7211,632875
train,164,448,458752,5350,5350,464102
train,165,532,544768,5782,5782,550550
train,166,542,555008,7134,7134,562142
train,167,814,833536,10600,10600,844136
train,168,510,522240,5954,5954,528194
train,169,550,563200,6986,6986,570186
train,170,614,628736,7232,7232,635968
train,171,604,618496,6996,6996,625492
train,172,506,518144,5922,5922,524066
train,173,537,549888,6693,6693,556581
train,174,555,568320,6699,6699,575019
train,175,575,588800,6797,6797,595597
train,176,525,537600,6107,6107,543707
train,177,485,496640,6115,6115,502755
train,178,534,546816,7002,7002,553818
train,179,502,514048,5892,5892,519940
train,180,433,443392,5531,5531,448923
train,181,507,519168,6295,6295,525463
train,182,564,577536,6328,6328,583864
train,183,462,473088,5784,5784,478872
train,184,453,463872,5453,5453,469325
train,185,627,642048,7323,7323,649371
train,186,572,585728,6206,6206,591934
train,187,520,532480,6662,6662,539142
train,188,655,670720,7841,7841,678561
train,189,526,538624,6436,6436,545060
train,190,398,407552,5004,5004,412556
train,191,470,481280,5990,5990,487270
train,192,585,599040,6109,6109,605149
train,193,454,464896,5820,5820,470716
train,194,475,486400,6773,6773,493173
train,195,435,445440,5543,5543,450983
train,196,577,590848,7199,7199,598047
train,197,505,517120,6705,6705,523825
train,198,558,571392,6894,6894,578286
train,199,461,472064,5587,5587,477651
train,200,462,473088,5636,5636,478724
train,201,625,640000,7161,7161,647161
train,202,467,478208,5819,5819,484027
train,203,525,537600,6373,6373,543973
train,204,568,581632,7046,7046,588678
train,205,530,542720,6668,6668,549388
train,206,490,501760,6348,6348,508108
train,207,584,598016,7000,7000,605016
train,208,531,543744,5965,5965,549709
train,209,499,510976,6037,6037,517013
train,210,563,576512,6419,6419,582931
train,211,664,679936,7276,7276,687212
train,212,492,503808,6042,6042,509850
train,213,527,539648,6113,6113,545761
train,214,566,579584,6594,6594,586178
train,215,451,461824,5645,5645,467469
train,216,466,477184,5732,5732,482916
train,217,514,526336,6280,6280,532616
train,218,457,467968,5781,5781,473749
train,219,579,592896,6907,6907,599803
train,220,532,544768,6204,6204,550972
train,221,541,553984,6267,6267,560251
train,222,483,494592,6101,6101,500693
train,223,488,499712,6216,6216,505928
train,224,620,634880,7392,7392,642272
train,225,513,525312,5791,5791,531103
train,226,498,509952,6016,6016,515968
train,227,497,508928,6087,6087,515015
train,228,511,523264,6091,6091,529355
train,229,450,460800,6088,6088,466888
train,230,546,559104,6572,6572,565676
train,231,522,534528,6594,6594,541122
train,232,451,461824,5465,5465,467289
train,233,662,677888,9232,9232,687120
train,234,516,528384,6304,6304,534688
train,235,487,498688,5713,5713,504401
train,236,541,553984,6155,6155,560139
train,237,483,494592,6173,6173,500765
train,238,537,549888,6811,6811,556699
train,239,528,540672,6278,6278,546950
train,240,495,506880,6007,6007,512887
train,241,588,602112,6870,6870,608982
train,242,454,464896,5656,5656,470552
