split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,138,725,742400,14885,2857920,3600320
train,139,518,530432,9277,1781184,2311616
train,140,576,589824,10932,2098944,2688768
train,141,602,616448,12273,2356416,2972864
train,142,427,437248,7072,1357824,1795072
train,143,577,590848,10579,2031168,2622016
train,144,441,451584,6277,1205184,1656768
train,145,502,514048,8740,1678080,2192128
train,146,507,519168,8653,1661376,2180544
train,147,619,633856,12698,2438016,3071872
train,148,532,544768,9055,1738560,2283328
train,149,491,502784,9351,1795392,2298176
train,150,833,852992,17341,3329472,4182464
train,151,595,609280,10927,2097984,2707264
train,152,546,559104,9776,1876992,2436096
train,153,709,726016,14387,2762304,3488320
train,154,528,540672,10779,2069568,2610240
train,155,472,483328,8063,1548096,2031424
train,156,740,757760,14661,2814912,3572672
train,157,545,558080,9774,1876608,2434688
train,158,491,502784,8798,1689216,2192000
train,159,644,659456,11914,2287488,2946944
train,160,496,507904,8653,1661376,2169280
train,161,529,541696,9430,1810560,2352256
train,162,481,492544,8739,1677888,2170432
train,163,611,625664,11603,2227776,2853440
train,164,448,458752,7785,1494720,1953472
train,165,532,544768,10877,2088384,2633152
train,166,542,555008,9129,1752768,2307776
train,167,814,833536,17181,3298752,4132288
train,168,510,522240,10088,1936896,2459136
train,169,550,563200,9436,1811712,2374912
train,170,614,628736,11139,2138688,2767424
train,171,604,618496,11504,2208768,2827264
train,172,506,518144,9654,1853568,2371712
train,173,537,549888,9032,1734144,2284032
train,174,555,568320,10003,1920576,2488896
train,175,575,588800,10648,2044416,2633216
train,176,525,537600,9243,1774656,2312256
train,177,485,496640,8093,1553856,2050496
train,178,534,546816,9396,1804032,2350848
train,179,502,514048,9247,1775424,2289472
train,180,433,443392,6999,1343808,1787200
train,181,507,519168,8889,1706688,2225856
train,182,564,577536,10962,2104704,2682240
train,183,462,473088,7738,1485696,1958784
train,184,453,463872,7959,1528128,1992000
train,185,627,642048,11860,2277120,2919168
train,186,572,585728,12377,2376384,2962112
train,187,520,532480,8351,1603392,2135872
train,188,655,670720,12888,2474496,3145216
train,189,526,538624,8938,1716096,2254720
train,190,398,407552,6144,1179648,1587200
train,191,470,481280,7856,1508352,1989632
train,192,585,599040,12668,2432256,3031296
train,193,454,464896,7652,1469184,1934080
train,194,475,486400,7412,1423104,1909504
train,195,435,445440,7063,1356096,1801536
train,196,577,590848,10415,1999680,2590528
train,197,505,517120,8108,1556736,2073856
train,198,558,571392,10209,1960128,2531520
train,199,461,472064,8019,1539648,2011712
train,200,462,473088,7467,1433664,1906752
train,201,625,640000,11948,2294016,2934016
train,202,467,478208,7819,1501248,1979456
train,203,525,537600,9592,1841664,2379264
train,204,568,581632,9936,1907712,2489344
train,205,530,542720,8611,1653312,2196032
train,206,490,501760,8378,1608576,2110336
train,207,584,598016,10421,2000832,2598848
train,208,531,543744,10737,2061504,2605248
train,209,499,510976,8440,1620480,2131456
train,210,563,576512,10905,2093760,2670272
train,211,664,679936,13188,2532096,3212032
train,212,492,503808,8635,1657920,2161728
train,213,527,539648,9788,1879296,2418944
train,214,566,579584,11151,2140992,2720576
train,215,451,461824,7653,1469376,1931200
train,216,466,477184,8142,1563264,2040448
train,217,514,526336,8959,1720128,2246464
train,218,457,467968,7606,1460352,1928320
train,219,579,592896,10657,2046144,2639040
train,220,532,544768,10143,1947456,2492224
train,221,541,553984,10166,1951872,2505856
train,222,483,494592,7928,1522176,2016768
train,223,488,499712,8032,1542144,2041856
train,224,620,634880,11543,2216256,2851136
train,225,513,525312,9927,1905984,2431296
train,226,498,509952,8953,1718976,2228928
train,227,497,508928,8842,1697664,2206592
train,228,511,523264,9112,1749504,2272768
train,229,450,460800,6615,1270080,1730880
train,230,546,559104,9694,1861248,2420352
train,231,522,534528,8759,1681728,2216256
train,232,451,461824,7650,1468800,1930624
train,233,662,677888,12741,2446272,3124160
train,234,516,528384,9058,1739136,2267520
train,235,487,498688,8252,1584384,2083072
train,236,541,553984,10813,2076096,2630080
train,237,483,494592,8022,1540224,2034816
train,238,537,549888,9126,1752192,2302080
train,239,528,540672,9193,1765056,2305728
train,240,495,506880,9009,1729728,2236608
train,241,588,602112,11395,2187840,2789952
train,242,454,464896,7995,1535040,1999936
train,243,742,759808,15435,2963520,3723328
train,244,526,538624,9738,1869696,2408320
train,245,581,594944,10558,2027136,2622080
train,246,679,695296,14197,2725824,3421120
train,247,732,749568,15602,2995584,3745152
train,248,586,600064,12544,2408448,3008512
train,249,451,461824,6896,1324032,1785856
train,250,471,482304,8547,1641024,2123328
train,251,512,524288,9247,1775424,2299712
train,252,623,637952,13462,2584704,3222656
train,253,408,417792,5867,1126464,1544256
train,254,559,572416,10292,1976064,2548480
train,255,488,499712,8576,1646592,2146304
train,256,567,580608,9858,1892736,2473344
train,257,463,474112,7893,1515456,1989568
train,258,519,531456,9009,1729728,2261184
train,259,367,375808,5224,1003008,1378816
train,260,513,525312,9076,1742592,2267904
train,261,564,577536,9550,1833600,2411136
train,262,397,406528,6089,1169088,1575616
train,263,613,627712,11743,2254656,2882368
train,264,529,541696,8371,1607232,2148928
train,265,536,548864,9739,1869888,2418752
train,266,540,552960,9997,1919424,2472384
train,267,542,555008,9733,1868736,2423744
train,268,505,517120,9612,1845504,2362624
train,269,657,672768,13009,2497728,3170496
train,270,607,621568,11652,2237184,2858752
train,271,402,411648,5838,1120896,1532544
train,272,569,582656,10507,2017344,2600000
train,273,472,483328,7984,1532928,2016256
train,274,499,510976,8717,1673664,2184640
train,275,533,545792,10853,2083776,2629568
train,276,494,505856,8937,1715904,2221760
train,277,487,498688,8696,1669632,2168320
train,278,523,535552,9790,1879680,2415232
train,279,629,644096,11954,2295168,2939264
train,280,516,528384,9091,1745472,2273856
train,281,500,512000,8491,1630272,2142272
train,282,497,508928,9308,1787136,2296064
train,283,422,432128,6520,1251840,1683968
train,284,540,552960,9147,1756224,2309184
train,285,427,437248,6635,1273920,1711168
train,286,468,479232,7681,1474752,1953984
train,287,483,494592,8991,1726272,2220864
train,288,506,518144,9740,1870080,2388224
train,289,519,531456,10076,1934592,2466048
train,290,491,502784,8674,1665408,2168192
train,291,490,501760,8448,1622016,2123776
train,292,524,536576,10650,2044800,2581376
train,293,459,470016,7694,1477248,1947264
train,294,721,738304,15635,3001920,3740224
train,295,499,510976,7864,1509888,2020864
train,296,465,476160,7770,1491840,1968000
train,297,521,533504,9848,1890816,2424320
train,298,414,423936,6648,1276416,1700352
train,299,440,450560,7509,1441728,1892288
train,300,531,543744,10678,2050176,2593920
train,301,543,556032,9925,1905600,2461632
train,302,514,526336,9146,1756032,2282368
train,303,441,451584,6599,1267008,1718592
train,304,495,506880,8305,1594560,2101440
train,305,507,519168,8164,1567488,2086656
train,306,500,512000,8882,1705344,2217344
train,307,587,601088,10756,2065152,2666240
train,308,461,472064,7375,1416000,1888064
train,309,566,579584,10030,1925760,2505344
train,310,437,447488,7407,1422144,1869632
train,311,467,478208,7370,1415040,1893248
train,312,451,461824,7889,1514688,1976512
train,313,498,509952,8931,1714752,2224704
train,314,606,620544,11810,2267520,2888064
train,315,480,491520,8083,1551936,2043456
train,316,516,528384,9536,1830912,2359296
train,317,611,625664,11840,2273280,2898944
train,318,512,524288,9193,1765056,2289344
train,319,528,540672,9486,1821312,2361984
train,320,560,573440,10463,2008896,2582336
train,321,397,406528,6113,1173696,1580224
train,322,525,537600,8571,1645632,2183232
train,323,466,477184,8231,1580352,2057536
train,324,537,549888,9300,1785600,2335488
train,325,509,521216,8707,1671744,2192960
train,326,586,600064,10799,2073408,2673472
train,327,493,504832,8394,1611648,2116480
train,328,538,550912,9551,1833792,2384704
train,329,492,503808,8978,1723776,2227584
train,330,629,644096,12282,2358144,3002240
train,331,680,696320,13286,2550912,3247232
train,332,621,635904,11398,2188416,2824320
train,333,643,658432,12391,2379072,3037504
train,334,576,589824,10585,2032320,2622144
train,335,554,567296,9568,1837056,2404352
train,336,500,512000,9483,1820736,2332736
train,337,520,532480,9707,1863744,2396224
train,338,522,534528,9136,1754112,2288640
train,339,561,574464,10241,1966272,2540736
train,340,661,676864,13279,2549568,3226432
train,341,478,489472,8002,1536384,2025856
train,342,484,495616,8826,1694592,2190208
train,343,521,533504,9622,1847424,2380928
train,344,522,534528,9307,1786944,2321472
train,345,625,640000,11450,2198400,2838400
train,346,422,432128,6881,1321152,1753280
train,347,576,589824,12326,2366592,2956416
train,348,625,640000,11988,2301696,2941696
train,349,454,464896,7443,1429056,1893952
train,350,537,549888,9137,1754304,2304192
train,351,494,505856,9199,1766208,2272064
train,352,858,878592,17810,3419520,4298112
train,353,483,494592,7899,1516608,2011200
train,354,425,435200,7006,1345152,1780352
train,355,674,690176,13855,2660160,3350336
train,356,535,547840,9572,1837824,2385664
train,357,412,421888,6584,1264128,1686016
train,358,534,546816,9314,1788288,2335104
train,359,559,572416,9951,1910592,2483008
train,360,530,542720,8682,1666944,2209664
train,361,484,495616,8635,1657920,2153536
train,362,531,543744,9177,1761984,2305728
train,363,638,653312,12754,2448768,3102080
train,364,738,755712,15422,2961024,3716736
train,365,556,569344,9628,1848576,2417920
train,366,411,420864,6385,1225920,1646784
train,367,548,561152,10662,2047104,2608256
train,368,462,473088,7654,1469568,1942656
train,369,458,468992,8053,1546176,2015168
train,370,794,813056,17572,3373824,4186880
train,371,495,506880,9504,1824768,2331648
train,372,660,675840,12974,2491008,3166848
train,373,471,482304,8043,1544256,2026560
train,374,529,541696,10334,1984128,2525824
train,375,432,442368,6392,1227264,1669632
train,376,465,476160,8387,1610304,2086464
train,377,620,634880,12078,2318976,2953856
train,378,561,574464,9913,1903296,2477760
train,379,559,572416,9873,1895616,2468032
train,380,581,594944,10029,1925568,2520512
train,381,473,484352,8592,1649664,2134016
train,382,629,644096,11662,2239104,2883200
train,383,540,552960,10536,2022912,2575872
train,384,519,531456,9839,1889088,2420544
train,385,655,670720,13110,2517120,3187840
