split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,186,190464,3824,734208,924672
train,1,183,187392,3702,710784,898176
train,2,190,194560,3990,766080,960640
train,3,146,149504,2356,452352,601856
train,4,90,92160,896,172032,264192
train,5,152,155648,2554,490368,646016
train,6,74,75776,606,116352,192128
train,7,210,215040,4874,935808,1150848
train,8,114,116736,1437,275904,392640
train,9,142,145408,2229,427968,573376
train,10,132,135168,1926,369792,504960
train,11,77,78848,656,125952,204800
train,12,172,176128,3270,627840,803968
train,13,141,144384,2198,422016,566400
train,14,158,161792,2759,529728,691520
train,15,100,102400,1106,212352,314752
train,16,172,176128,3270,627840,803968
train,17,131,134144,1897,364224,498368
train,18,178,182272,3502,672384,854656
train,19,70,71680,542,104064,175744
train,20,118,120832,1539,295488,416320
train,21,93,95232,956,183552,278784
train,22,120,122880,1592,305664,428544
train,23,106,108544,1242,238464,347008
train,24,189,193536,3948,758016,951552
train,25,156,159744,2690,516480,676224
train,26,137,140288,2075,398400,538688
train,27,192,196608,4075,782400,979008
train,28,121,123904,1618,310656,434560
train,29,84,86016,780,149760,235776
train,30,94,96256,977,187584,283840
train,31,149,152576,2454,471168,623744
train,32,212,217088,4967,953664,1170752
train,33,245,250880,6634,1273728,1524608
train,34,194,198656,4160,798720,997376
train,35,146,149504,2356,452352,601856
train,36,141,144384,2198,422016,566400
train,37,147,150528,2389,458688,609216
train,38,98,100352,1062,203904,304256
train,39,182,186368,3661,702912,889280
train,40,185,189440,3783,726336,915776
train,41,156,159744,2690,516480,676224
train,42,96,98304,1019,195648,293952
train,43,141,144384,2198,422016,566400
train,44,118,120832,1539,295488,416320
train,45,151,154624,2520,483840,638464
train,46,170,174080,3194,613248,787328
train,47,188,192512,3907,750144,942656
train,48,121,123904,1618,310656,434560
train,49,127,130048,1783,342336,472384
train,50,174,178176,3346,642432,820608
train,51,118,120832,1539,295488,416320
train,52,144,147456,2292,440064,587520
train,53,190,194560,3990,766080,960640
train,54,64,65536,453,86976,152512
train,55,107,109568,1266,243072,352640
train,56,104,106496,1196,229632,336128
train,57,183,187392,3702,710784,898176
train,58,227,232448,5695,1093440,1325888
train,59,202,206848,4510,865920,1072768
train,60,123,125952,1672,321024,446976
train,61,118,120832,1539,295488,416320
train,62,206,210944,4690,900480,1111424
train,63,188,192512,3907,750144,942656
train,64,163,166912,2937,563904,730816
train,65,140,143360,2167,416064,559424
train,66,64,65536,453,86976,152512
train,67,72,73728,573,110016,183744
train,68,137,140288,2075,398400,538688
train,69,202,206848,4510,865920,1072768
train,70,142,145408,2229,427968,573376
train,71,121,123904,1618,310656,434560
train,72,67,68608,497,95424,164032
train,73,145,148480,2324,446208,594688
train,74,105,107520,1219,234048,341568
train,75,60,61440,398,76416,137856
train,76,193,197632,4117,790464,988096
train,77,152,155648,2554,490368,646016
train,78,204,208896,4600,883200,1092096
train,79,131,134144,1897,364224,498368
train,80,214,219136,5062,971904,1191040
train,81,167,171008,3083,591936,762944
train,82,134,137216,1985,381120,518336
train,83,209,214016,4828,926976,1140992
train,84,192,196608,4075,782400,979008
train,85,75,76800,622,119424,196224
train,86,172,176128,3270,627840,803968
train,87,118,120832,1539,295488,416320
train,88,174,178176,3346,642432,820608
train,89,213,218112,5014,962688,1180800
train,90,172,176128,3270,627840,803968
train,91,157,160768,2725,523200,683968
train,92,247,252928,6743,1294656,1547584
train,93,126,129024,1755,336960,465984
train,94,99,101376,1084,208128,309504
train,95,206,210944,4690,900480,1111424
train,96,185,189440,3783,726336,915776
train,97,101,103424,1128,216576,320000
train,98,179,183296,3541,679872,863168
train,99,88,90112,856,164352,254464
train,100,172,176128,3270,627840,803968
train,101,128,131072,1811,347712,478784
train,102,139,142336,2136,410112,552448
train,103,136,139264,2045,392640,531904
train,104,213,218112,5014,962688,1180800
train,105,180,184320,3581,687552,871872
train,106,94,96256,977,187584,283840
train,107,125,128000,1727,331584,459584
train,108,130,133120,1868,358656,491776
train,109,120,122880,1592,305664,428544
train,110,119,121856,1565,300480,422336
train,111,104,106496,1196,229632,336128
train,112,192,196608,4075,782400,979008
train,113,187,191488,3865,742080,933568
train,114,102,104448,1150,220800,325248
train,115,232,237568,5949,1142208,1379776
train,116,194,198656,4160,798720,997376
train,117,176,180224,3424,657408,837632
train,118,98,100352,1062,203904,304256
train,119,179,183296,3541,679872,863168
train,120,186,190464,3824,734208,924672
train,121,126,129024,1755,336960,465984
train,122,114,116736,1437,275904,392640
train,123,154,157696,2621,503232,660928
train,124,159,162816,2794,536448,699264
train,125,101,103424,1128,216576,320000
train,126,77,78848,656,125952,204800
train,127,110,112640,1338,256896,369536
train,128,132,135168,1926,369792,504960
train,129,204,208896,4600,883200,1092096
train,130,121,123904,1618,310656,434560
train,131,188,192512,3907,750144,942656
train,132,128,131072,1811,347712,478784
train,133,142,145408,2229,427968,573376
train,134,92,94208,936,179712,273920
train,135,88,90112,856,164352,254464
train,136,106,108544,1242,238464,347008
train,137,169,173056,3157,606144,779200
train,138,214,219136,5062,971904,1191040
train,139,190,194560,3990,766080,960640
train,140,166,169984,3046,584832,754816
train,141,115,117760,1462,280704,398464
train,142,120,122880,1592,305664,428544
train,143,124,126976,1700,326400,453376
train,144,165,168960,3009,577728,746688
train,145,146,149504,2356,452352,601856
train,146,66,67584,482,92544,160128
train,147,106,108544,1242,238464,347008
train,148,152,155648,2554,490368,646016
train,149,115,117760,1462,280704,398464
train,150,155,158720,2656,509952,668672
train,151,69,70656,527,101184,171840
train,152,136,139264,2045,392640,531904
train,153,185,189440,3783,726336,915776
train,154,144,147456,2292,440064,587520
train,155,135,138240,2015,386880,525120
train,156,153,156672,2587,496704,653376
train,157,221,226304,5398,1036416,1262720
train,158,154,157696,2621,503232,660928
train,159,147,150528,2389,458688,609216
train,160,80,81920,708,135936,217856
train,161,108,110592,1289,247488,358080
train,162,110,112640,1338,256896,369536
train,163,91,93184,916,175872,269056
train,164,218,223232,5253,1008576,1231808
train,165,190,194560,3990,766080,960640
train,166,193,197632,4117,790464,988096
train,167,95,97280,998,191616,288896
train,168,79,80896,690,132480,213376
train,169,55,56320,335,64320,120640
train,170,89,91136,876,168192,259328
train,171,180,184320,3581,687552,871872
train,172,100,102400,1106,212352,314752
train,173,187,191488,3865,742080,933568
train,174,158,161792,2759,529728,691520
train,175,158,161792,2759,529728,691520
train,176,142,145408,2229,427968,573376
train,177,177,181248,3463,664896,846144
train,178,190,194560,3990,766080,960640
train,179,142,145408,2229,427968,573376
train,180,174,178176,3346,642432,820608
train,181,58,59392,372,71424,130816
train,182,76,77824,639,122688,200512
train,183,147,150528,2389,458688,609216
train,184,134,137216,1985,381120,518336
train,185,175,179200,3385,649920,829120
train,186,125,128000,1727,331584,459584
train,187,159,162816,2794,536448,699264
train,188,152,155648,2554,490368,646016
train,189,137,140288,2075,398400,538688
train,190,224,229376,5546,1064832,1294208
train,191,157,160768,2725,523200,683968
train,192,141,144384,2198,422016,566400
train,193,212,217088,4967,953664,1170752
train,194,110,112640,1338,256896,369536
train,195,137,140288,2075,398400,538688
train,196,171,175104,3232,620544,795648
train,197,65,66560,467,89664,156224
train,198,127,130048,1783,342336,472384
train,199,138,141312,2105,404160,545472
train,200,161,164864,2865,550080,714944
train,201,166,169984,3046,584832,754816
train,202,192,196608,4075,782400,979008
train,203,173,177152,3308,635136,812288
train,204,135,138240,2015,386880,525120
train,205,160,163840,2830,543360,707200
train,206,143,146432,2260,433920,580352
train,207,264,270336,7703,1478976,1749312
train,208,154,157696,2621,503232,660928
train,209,168,172032,3120,599040,771072
train,210,160,163840,2830,543360,707200
train,211,155,158720,2656,509952,668672
train,212,103,105472,1173,225216,330688
train,213,165,168960,3009,577728,746688
train,214,113,115712,1412,271104,386816
train,215,187,191488,3865,742080,933568
train,216,147,150528,2389,458688,609216
train,217,130,133120,1868,358656,491776
train,218,117,119808,1513,290496,410304
train,219,59,60416,385,73920,134336
train,220,144,147456,2292,440064,587520
train,221,144,147456,2292,440064,587520
train,222,149,152576,2454,471168,623744
train,223,62,63488,425,81600,145088
train,224,135,138240,2015,386880,525120
train,225,159,162816,2794,536448,699264
train,226,127,130048,1783,342336,472384
train,227,162,165888,2901,556992,722880
train,228,144,147456,2292,440064,587520
train,229,92,94208,936,179712,273920
train,230,84,86016,780,149760,235776
train,231,232,237568,5949,1142208,1379776
train,232,164,167936,2973,570816,738752
train,233,163,166912,2937,563904,730816
train,234,103,105472,1173,225216,330688
train,235,107,109568,1266,243072,352640
train,236,147,150528,2389,458688,609216
train,237,131,134144,1897,364224,498368
train,238,185,189440,3783,726336,915776
train,239,236,241664,6156,1181952,1423616
train,240,159,162816,2794,536448,699264
train,241,299,306176,9881,1897152,2203328
train,242,142,145408,2229,427968,573376
train,243,147,150528,2389,458688,609216
train,244,144,147456,2292,440064,587520
train,245,122,124928,1645,315840,440768
train,246,171,175104,3232,620544,795648
