dataset,index,split,window_size,approach,time,nodes,edges,density
Ohsumed,3419,test,2,MPAD,0.001474142074584961,128,477,0.02911376953125
Ohsumed,3419,test,2,TextING,0.0008478164672851562,127,223,0.013826027652055303
Ohsumed,3419,test,2,MPAD,0.0006580352783203125,128,477,0.02911376953125
Ohsumed,3419,test,2,TextING,0.0007295608520507812,127,223,0.013826027652055303
Ohsumed,3419,test,2,MPAD,0.0006535053253173828,128,477,0.02911376953125
Ohsumed,3419,test,2,TextING,0.0007135868072509766,127,223,0.013826027652055303
Ohsumed,3419,test,3,MPAD,0.0009181499481201172,128,711,0.04339599609375
Ohsumed,3419,test,3,TextING,0.0013391971588134766,127,456,0.028272056544113088
Ohsumed,3419,test,3,MPAD,0.0009267330169677734,128,711,0.04339599609375
Ohsumed,3419,test,3,TextING,0.0012450218200683594,127,456,0.028272056544113088
Ohsumed,3419,test,3,MPAD,0.0009076595306396484,128,711,0.04339599609375
Ohsumed,3419,test,3,TextING,0.0012564659118652344,127,456,0.028272056544113088
Ohsumed,3419,test,4,MPAD,0.0011515617370605469,128,935,0.05706787109375
Ohsumed,3419,test,4,TextING,0.0020101070404052734,127,676,0.04191208382416765
Ohsumed,3419,test,4,MPAD,0.0011599063873291016,128,935,0.05706787109375
Ohsumed,3419,test,4,TextING,0.001951456069946289,127,676,0.04191208382416765
Ohsumed,3419,test,4,MPAD,0.001012563705444336,128,935,0.05706787109375
Ohsumed,3419,test,4,TextING,0.0017414093017578125,127,676,0.04191208382416765
Ohsumed,3419,test,5,MPAD,0.0012290477752685547,128,1149,0.07012939453125
Ohsumed,3419,test,5,TextING,0.002645254135131836,127,890,0.05518011036022072
Ohsumed,3419,test,5,MPAD,0.0012297630310058594,128,1149,0.07012939453125
Ohsumed,3419,test,5,TextING,0.002555370330810547,127,890,0.05518011036022072
Ohsumed,3419,test,5,MPAD,0.0012238025665283203,128,1149,0.07012939453125
Ohsumed,3419,test,5,TextING,0.002553224563598633,127,890,0.05518011036022072
Ohsumed,407,validation,2,MPAD,0.00033783912658691406,78,272,0.044707429322813935
Ohsumed,407,validation,2,TextING,0.0003247261047363281,77,118,0.01990217574633159
Ohsumed,407,validation,2,MPAD,0.00028395652770996094,78,272,0.044707429322813935
Ohsumed,407,validation,2,TextING,0.0003147125244140625,77,118,0.01990217574633159
Ohsumed,407,validation,2,MPAD,0.00028014183044433594,78,272,0.044707429322813935
Ohsumed,407,validation,2,TextING,0.0003142356872558594,77,118,0.01990217574633159
Ohsumed,407,validation,3,MPAD,0.00037932395935058594,78,393,0.0645956607495069
Ohsumed,407,validation,3,TextING,0.0005352497100830078,77,237,0.039973013998988026
Ohsumed,407,validation,3,MPAD,0.0003826618194580078,78,393,0.0645956607495069
Ohsumed,407,validation,3,TextING,0.0005321502685546875,77,237,0.039973013998988026
Ohsumed,407,validation,3,MPAD,0.00038313865661621094,78,393,0.0645956607495069
Ohsumed,407,validation,3,TextING,0.0005300045013427734,77,237,0.039973013998988026
Ohsumed,407,validation,4,MPAD,0.0004780292510986328,78,508,0.08349769888231427
Ohsumed,407,validation,4,TextING,0.0008273124694824219,77,351,0.05920053972002024
Ohsumed,407,validation,4,MPAD,0.0004858970642089844,78,508,0.08349769888231427
Ohsumed,407,validation,4,TextING,0.0008356571197509766,77,351,0.05920053972002024
Ohsumed,407,validation,4,MPAD,0.00048279762268066406,78,508,0.08349769888231427
Ohsumed,407,validation,4,TextING,0.0008215904235839844,77,351,0.05920053972002024
Ohsumed,407,validation,5,MPAD,0.0005719661712646484,78,614,0.10092044707429323
Ohsumed,407,validation,5,TextING,0.0011997222900390625,77,456,0.07691010288412886
Ohsumed,407,validation,5,MPAD,0.0005800724029541016,78,614,0.10092044707429323
Ohsumed,407,validation,5,TextING,0.0011997222900390625,77,456,0.07691010288412886
Ohsumed,407,validation,5,MPAD,0.0005743503570556641,78,614,0.10092044707429323
Ohsumed,407,validation,5,TextING,0.0012018680572509766,77,456,0.07691010288412886
Ohsumed,1146,test,2,MPAD,0.0009474754333496094,154,610,0.025721032214538708
Ohsumed,1146,test,2,TextING,0.0010004043579101562,153,304,0.01298645819983767
Ohsumed,1146,test,2,MPAD,0.0008955001831054688,154,610,0.025721032214538708
Ohsumed,1146,test,2,TextING,0.0009810924530029297,153,304,0.01298645819983767
Ohsumed,1146,test,2,MPAD,0.0009005069732666016,154,610,0.025721032214538708
Ohsumed,1146,test,2,TextING,0.0009758472442626953,153,304,0.01298645819983767
Ohsumed,1146,test,3,MPAD,0.0012507438659667969,154,950,0.04005734525215045
Ohsumed,1146,test,3,TextING,0.0017223358154296875,153,643,0.02746806783715665
Ohsumed,1146,test,3,MPAD,0.0012586116790771484,154,950,0.04005734525215045
Ohsumed,1146,test,3,TextING,0.0016961097717285156,153,643,0.02746806783715665
Ohsumed,1146,test,3,MPAD,0.0012750625610351562,154,950,0.04005734525215045
Ohsumed,1146,test,3,TextING,0.0016980171203613281,153,643,0.02746806783715665
Ohsumed,1146,test,4,MPAD,0.0016012191772460938,154,1291,0.0544358239163434
Ohsumed,1146,test,4,TextING,0.0028874874114990234,153,981,0.041906958861976165
Ohsumed,1146,test,4,MPAD,0.0016214847564697266,154,1291,0.0544358239163434
Ohsumed,1146,test,4,TextING,0.002736330032348633,153,981,0.041906958861976165
Ohsumed,1146,test,4,MPAD,0.001619577407836914,154,1291,0.0544358239163434
Ohsumed,1146,test,4,TextING,0.0027239322662353516,153,981,0.041906958861976165
Ohsumed,1146,test,5,MPAD,0.001991748809814453,154,1608,0.06780232754258728
Ohsumed,1146,test,5,TextING,0.004239320755004883,153,1298,0.05544875902430689
Ohsumed,1146,test,5,MPAD,0.001998424530029297,154,1608,0.06780232754258728
Ohsumed,1146,test,5,TextING,0.004048585891723633,153,1298,0.05544875902430689
Ohsumed,1146,test,5,MPAD,0.001991748809814453,154,1608,0.06780232754258728
Ohsumed,1146,test,5,TextING,0.004079580307006836,153,1298,0.05544875902430689
IMDb-top_1000,1,test,2,MPAD,0.0019037723541259766,435,1745,0.009221825868674857
IMDb-top_1000,1,test,2,TextING,0.0022313594818115234,434,876,0.0046507676952154435
IMDb-top_1000,1,test,2,MPAD,0.0018305778503417969,435,1745,0.009221825868674857
IMDb-top_1000,1,test,2,TextING,0.002134084701538086,434,876,0.0046507676952154435
IMDb-top_1000,1,test,2,MPAD,0.0018301010131835938,435,1745,0.009221825868674857
IMDb-top_1000,1,test,2,TextING,0.002128124237060547,434,876,0.0046507676952154435
IMDb-top_1000,1,test,3,MPAD,0.002548694610595703,435,2629,0.013893513013608139
IMDb-top_1000,1,test,3,TextING,0.004115581512451172,434,1756,0.009322771772600819
IMDb-top_1000,1,test,3,MPAD,0.0025801658630371094,435,2629,0.013893513013608139
IMDb-top_1000,1,test,3,TextING,0.0037834644317626953,434,1756,0.009322771772600819
IMDb-top_1000,1,test,3,MPAD,0.002573251724243164,435,2629,0.013893513013608139
IMDb-top_1000,1,test,3,TextING,0.0037724971771240234,434,1756,0.009322771772600819
IMDb-top_1000,1,test,4,MPAD,0.003536224365234375,435,3478,0.018380235169771435
IMDb-top_1000,1,test,4,TextING,0.006131172180175781,434,2599,0.013798339314914311
IMDb-top_1000,1,test,4,MPAD,0.0034821033477783203,435,3478,0.018380235169771435
IMDb-top_1000,1,test,4,TextING,0.0060575008392333984,434,2599,0.013798339314914311
IMDb-top_1000,1,test,4,MPAD,0.0034706592559814453,435,3478,0.018380235169771435
IMDb-top_1000,1,test,4,TextING,0.005992889404296875,434,2599,0.013798339314914311
IMDb-top_1000,1,test,5,MPAD,0.0042002201080322266,435,4290,0.022671422909235038
IMDb-top_1000,1,test,5,TextING,0.009076118469238281,434,3409,0.01809870670432585
IMDb-top_1000,1,test,5,MPAD,0.004324674606323242,435,4290,0.022671422909235038
IMDb-top_1000,1,test,5,TextING,0.008990049362182617,434,3409,0.01809870670432585
IMDb-top_1000,1,test,5,MPAD,0.0042209625244140625,435,4290,0.022671422909235038
IMDb-top_1000,1,test,5,TextING,0.008939743041992188,434,3409,0.01809870670432585
Ohsumed,1828,test,2,MPAD,0.0004744529724121094,93,325,0.03757659845068794
Ohsumed,1828,test,2,TextING,0.00039577484130859375,92,141,0.016658790170132325
Ohsumed,1828,test,2,MPAD,0.00035119056701660156,93,325,0.03757659845068794
Ohsumed,1828,test,2,TextING,0.00038051605224609375,92,141,0.016658790170132325
Ohsumed,1828,test,2,MPAD,0.00033855438232421875,93,325,0.03757659845068794
Ohsumed,1828,test,2,TextING,0.00037860870361328125,92,141,0.016658790170132325
Ohsumed,1828,test,3,MPAD,0.0004589557647705078,93,471,0.054457162677766215
Ohsumed,1828,test,3,TextING,0.0006434917449951172,92,286,0.033790170132325145
Ohsumed,1828,test,3,MPAD,0.0004634857177734375,93,471,0.054457162677766215
Ohsumed,1828,test,3,TextING,0.0006453990936279297,92,286,0.033790170132325145
Ohsumed,1828,test,3,MPAD,0.0004725456237792969,93,471,0.054457162677766215
Ohsumed,1828,test,3,TextING,0.0006470680236816406,92,286,0.033790170132325145
Ohsumed,1828,test,4,MPAD,0.0005824565887451172,93,610,0.07052838478436814
Ohsumed,1828,test,4,TextING,0.0010137557983398438,92,424,0.0500945179584121
Ohsumed,1828,test,4,MPAD,0.0005872249603271484,93,610,0.07052838478436814
Ohsumed,1828,test,4,TextING,0.0010187625885009766,92,424,0.0500945179584121
