dataset,index,split,LLM,approach,left_stride,right_stride,threshold,time,nodes,edges,density
Ohsumed,3419,test,facebook/bart-large,Grouped,64,64,0.7,1.6846270561218262,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,64,64,0.7,0.11885881423950195,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,64,64,0.7,0.1259922981262207,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,64,64,0.85,0.12124395370483398,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,64,64,0.85,0.12123513221740723,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,64,64,0.85,0.11212873458862305,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,64,64,0.95,0.10455870628356934,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,64,64,0.95,0.10445284843444824,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,64,64,0.95,0.10396981239318848,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,64,128,0.7,0.10453248023986816,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,64,128,0.7,0.11646389961242676,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,64,128,0.7,0.12157607078552246,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,64,128,0.85,0.12051558494567871,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,64,128,0.85,0.12117338180541992,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,64,128,0.85,0.11372685432434082,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,64,128,0.95,0.10450124740600586,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,64,128,0.95,0.10421347618103027,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,64,128,0.95,0.10469555854797363,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,128,64,0.7,0.12340617179870605,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,128,64,0.7,0.10441994667053223,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,128,64,0.7,0.1227269172668457,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,128,64,0.85,0.12088489532470703,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,128,64,0.85,0.12209796905517578,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,128,64,0.85,0.12097835540771484,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,128,64,0.95,0.11446309089660645,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,128,64,0.95,0.10363960266113281,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,128,64,0.95,0.10990428924560547,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,128,128,0.7,0.12022066116333008,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,128,128,0.7,0.1120913028717041,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,128,128,0.7,0.1202239990234375,157,7395,0.30001217087914317
Ohsumed,3419,test,facebook/bart-large,Grouped,128,128,0.85,0.12037801742553711,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,128,128,0.85,0.12124276161193848,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,128,128,0.85,0.11338019371032715,157,3698,0.15002637023814352
Ohsumed,3419,test,facebook/bart-large,Grouped,128,128,0.95,0.10467982292175293,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,128,128,0.95,0.11618542671203613,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Grouped,128,128,0.95,0.11398172378540039,157,1233,0.05002231327842915
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,64,0.7,0.23940372467041016,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,64,0.7,0.2391529083251953,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,64,0.7,0.2388627529144287,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,64,0.85,0.24040722846984863,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,64,0.85,0.24508333206176758,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,64,0.85,0.23966383934020996,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,64,0.95,0.23877286911010742,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,64,0.95,0.23934364318847656,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,64,0.95,0.23970961570739746,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,128,0.7,0.24498796463012695,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,128,0.7,0.23999476432800293,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,128,0.7,0.24037575721740723,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,128,0.85,0.2385087013244629,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,128,0.85,0.23790550231933594,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,128,0.85,0.24478888511657715,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,128,0.95,0.24044442176818848,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,128,0.95,0.2411203384399414,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,64,128,0.95,0.24037957191467285,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,64,0.7,0.23975419998168945,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,64,0.7,0.23799967765808105,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,64,0.7,0.23934555053710938,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,64,0.85,0.23795008659362793,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,64,0.85,0.23850464820861816,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,64,0.85,0.2410893440246582,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,64,0.95,0.2401120662689209,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,64,0.95,0.24535131454467773,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,64,0.95,0.24186015129089355,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,128,0.7,0.24157953262329102,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,128,0.7,0.23882198333740234,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,128,0.7,0.23922085762023926,350,36750,0.3
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,128,0.85,0.24486899375915527,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,128,0.85,0.23803305625915527,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,128,0.85,0.2400672435760498,350,18375,0.15
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,128,0.95,0.24006247520446777,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,128,0.95,0.2409958839416504,350,6125,0.05
Ohsumed,3419,test,facebook/bart-large,Surrogate,128,128,0.95,0.2408008575439453,350,6125,0.05
Ohsumed,407,validation,facebook/bart-large,Grouped,64,64,0.7,0.07197856903076172,96,2765,0.3000217013888889
Ohsumed,407,validation,facebook/bart-large,Grouped,64,64,0.7,0.06826233863830566,96,2765,0.3000217013888889
Ohsumed,407,validation,facebook/bart-large,Grouped,64,64,0.7,0.06586360931396484,96,2765,0.3000217013888889
