dataset,index,split,LLM,approach,left_stride,right_stride,threshold,time,nodes,edges,density
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,64,64,0.95,0.13590025901794434,363,6589,0.05000417397111612
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,64,128,0.7,0.13589215278625488,363,39531,0.30000227671151786
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,64,128,0.7,0.13391780853271484,363,39531,0.30000227671151786
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,64,128,0.7,0.13436603546142578,363,39531,0.30000227671151786
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,64,128,0.85,0.13451075553894043,363,19766,0.15000493287495542
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,64,128,0.85,0.13385462760925293,363,19766,0.15000493287495542
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,64,128,0.85,0.1346445083618164,363,19766,0.15000493287495542
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,64,128,0.95,0.13497161865234375,363,6589,0.05000417397111612
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,64,128,0.95,0.1344149112701416,363,6589,0.05000417397111612
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,64,128,0.95,0.6651668548583984,363,6589,0.05000417397111612
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,64,0.7,0.1347644329071045,363,39531,0.30000227671151786
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,64,0.7,0.13457179069519043,363,39531,0.30000227671151786
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,64,0.7,0.13458561897277832,363,39531,0.30000227671151786
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,64,0.85,0.16714215278625488,363,19766,0.15000493287495542
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,64,0.85,0.1657390594482422,363,19766,0.15000493287495542
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,64,0.85,0.16577816009521484,363,19766,0.15000493287495542
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,64,0.95,0.13689398765563965,363,6589,0.05000417397111612
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,64,0.95,0.13602542877197266,363,6589,0.05000417397111612
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,64,0.95,0.13668227195739746,363,6589,0.05000417397111612
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,128,0.7,0.13682770729064941,363,39531,0.30000227671151786
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,128,0.7,0.13910317420959473,363,39531,0.30000227671151786
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,128,0.7,0.13664865493774414,363,39531,0.30000227671151786
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,128,0.85,0.13675403594970703,363,19766,0.15000493287495542
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,128,0.85,0.13505125045776367,363,19766,0.15000493287495542
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,128,0.85,0.13409662246704102,363,19766,0.15000493287495542
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,128,0.95,0.13432002067565918,363,6589,0.05000417397111612
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,128,0.95,0.13419866561889648,363,6589,0.05000417397111612
Ohsumed,3419,test,google-bert/bert-base-uncased,Surrogate,128,128,0.95,0.13443470001220703,363,6589,0.05000417397111612
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,64,0.7,0.045186758041381836,87,2271,0.30003963535473643
Ohsumed,407,validation,google-bert/bert-base-uncased,Grouped,64,64,0.7,0.04465007781982422,87,2271,0.30003963535473643
