ids,tokens,aggregated_weights
36,Ġup,2.9265592e-09
37,Ġin,2.4892661e-09
35,Ġhold,2.2863145e-09
38,Ġan,2.2500055e-09
205,<,1.8802684e-09
343,ĠMaster,1.4264806e-09
206,br,1.1836145e-09
209,br,1.1038932e-09
204,...,1.0417153e-09
78,ĠS,8.3664514e-10
207,Ġ/,8.310944e-10
79,ester,8.104827e-10
80,o,7.4928985e-10
259,:,5.673211e-10
77,Greg,5.5563776e-10
260,ĠThe,5.420455e-10
262,ĠChapter,4.7133797e-10
339,ĠMaster,4.6571574e-10
258,Ġ5,4.0009374e-10
342,ĠPuppet,3.6699369e-10
39,ĠInn,2.929758e-10
257,ĠMaster,2.33707e-10
197,Ġ&,2.0119663e-10
324,ĠT,1.6144441e-10
195,Ġit,1.5217697e-10
263,Ġ(,1.4603475e-10
8,w,1.4168562e-10
325,oul,1.3033337e-10
76,Ġ(,1.2382922e-10
196,Ġback,1.14230486e-10
327,'s,1.1004251e-10
326,on,1.0767778e-10
264,1994,1.053404e-10
341,Ġ&,1.0481456e-10
340,Ġ4,9.6929374e-11
328,ĠRevenge,9.599584e-11
208,><,9.078839e-11
30,Ġplan,8.729213e-11
344,Ġ5,8.305599e-11
17,oul,6.861493e-11
194,Ġwants,6.558222e-11
256,ĠPuppet,6.0306045e-11
266,ĠCurse,4.971035e-11
345,:,4.9142922e-11
251,ĠMaster,4.5678752e-11
18,on,4.383423e-11
81,),4.0257794e-11
20,Guy,3.446464e-11
7,ole,3.413024e-11
75,Ġself,3.3593517e-11
269,ĠPuppet,3.330838e-11
252,Ġ4,3.131011e-11
261,ĠFinal,3.047911e-11
198,Ġeveryone,3.0379872e-11
73,Ġhis,2.971188e-11
268,Ġthe,2.9039592e-11
267,Ġof,2.8072392e-11
348,ĠChapter,2.610958e-11
16,ĠT,2.6102944e-11
338,ĠPuppet,2.4834364e-11
203,Ġdead,2.4622655e-11
43,oul,2.3054813e-11
34,",",2.2635557e-11
202,Ġit,1.951866e-11
25,Ġ&,1.9385953e-11
19,Ġ(,1.897005e-11
255,"),",1.8899788e-11
270,ĠMaster,1.7722981e-11
265,"),",1.699686e-11
389,oul,1.6182321e-11
253,Ġ(,1.5158751e-11
26,Ġhis,1.4688079e-11
27,Ġliving,1.4407448e-11
329,Ġ(,1.1767278e-11
21,ĠR,1.0778723e-11
24,),1.0760447e-11
14,Ġmaster,1.0701849e-11
250,ĠPuppet,1.0559919e-11
70,Ġin,1.0204308e-11
40,Ġpuppet,1.01075285e-11
352,Ġtrying,9.73218e-12
32,Ġescape,9.624225e-12
68,Ġin,9.571242e-12
22,olf,9.566115e-12
72,Ġwhen,9.041694e-12
6,ĠK,8.7839805e-12
254,1993,8.741004e-12
199,Ġwho,8.200916e-12
23,e,8.024071e-12
175,Ġas,7.075866e-12
346,ĠThe,6.3715244e-12
167,Ġthe,6.339879e-12
390,on,6.3114956e-12
350,ĠSut,6.212055e-12
74,Ġyounger,6.205464e-12
172,Ġalso,6.128014e-12
13,Ġpuppet,5.943637e-12
166,ĠHowever,5.551568e-12
67,Ġback,5.475477e-12
271,Ġ(,4.8408872e-12
173,Ġa,4.2147267e-12
191,Ġby,4.0775738e-12
185,Ġstolen,3.7682674e-12
355,Ġeveryone,3.7063677e-12
200,Ġhas,3.67e-12
160,Ġthe,3.3055381e-12
171,Ġwas,3.061331e-12
388,ĠT,2.9984324e-12
156,Ġthat,2.9429484e-12
351,ek,2.8503844e-12
44,on,2.8180715e-12
349,Ġwith,2.7461904e-12
31,Ġto,2.7441027e-12
157,Ġwere,2.7329454e-12
353,Ġto,2.60304e-12
193,zel,2.4880558e-12
42,ĠT,2.3206075e-12
159,Ġof,2.138563e-12
190,Ġplace,2.1219057e-12
168,Ġgift,2.0790813e-12
323,:,2.0142713e-12
184,Ġwas,1.6742355e-12
359,Ġstolen,1.5469912e-12
272,1998,1.5121716e-12
356,Ġassociated,1.3126245e-12
358,Ġhis,1.2205366e-12
186,Ġfrom,1.1240088e-12
169,Ġof,1.0591155e-12
71,ĠParis,9.119183e-13
69,Ġ1902,8.877197e-13
330,1991,7.300705e-13
41,Ġmaster,6.8257764e-13
158,Ġpart,5.764782e-13
182,Ġthe,5.307448e-13
9,ige,4.6926834e-13
151,Ġhis,4.549985e-13
357,Ġwith,4.3194747e-13
192,ĠAf,3.838142e-13
162,ĠMag,3.6557427e-13
354,Ġkill,2.2674744e-13
107,Jack,2.0788625e-13
857,br,1.7962244e-13
29,ets,1.7333978e-13
12,Ġwhere,1.491326e-13
361,Ġgiving,1.4169564e-13
220,Ġof,1.375301e-13
127,rig,9.614087e-14
161,ĠTheatre,9.42801e-14
189,Ġfirst,9.127067e-14
