from_ids,from_token,to_ids,to_token,weights
262,ĠChapter,266,ĠCurse,1.1384952e-11
78,ĠS,81,),1.1052199e-11
264,1994,258,Ġ5,1.10197415e-11
258,Ġ5,264,1994,1.0620772e-11
77,Greg,20,Guy,1.0533016e-11
327,'s,325,oul,1.0333545e-11
327,'s,327,'s,1.0166956e-11
256,ĠPuppet,258,Ġ5,1.007874e-11
206,br,208,><,9.896269e-12
258,Ġ5,256,ĠPuppet,9.7944335e-12
325,oul,325,oul,9.705912e-12
80,o,81,),9.556201e-12
325,oul,327,'s,9.549423e-12
208,><,206,br,9.499902e-12
327,'s,326,on,9.1099515e-12
77,Greg,75,Ġself,9.074054e-12
328,ĠRevenge,325,oul,9.044782e-12
259,:,345,:,9.030716e-12
344,Ġ5,342,ĠPuppet,8.997653e-12
81,),80,o,8.913511e-12
328,ĠRevenge,327,'s,8.898954e-12
326,on,325,oul,8.8791e-12
204,...,203,Ġdead,8.87788e-12
327,'s,328,ĠRevenge,8.874342e-12
326,on,327,'s,8.735958e-12
262,ĠChapter,348,ĠChapter,8.61906e-12
325,oul,326,on,8.55662e-12
194,Ġwants,195,Ġit,8.440237e-12
325,oul,17,oul,8.4248615e-12
325,oul,328,ĠRevenge,8.335321e-12
194,Ġwants,197,Ġ&,8.09729e-12
75,Ġself,77,Greg,8.026312e-12
195,Ġit,194,Ġwants,8.011079e-12
17,oul,325,oul,8.0109565e-12
258,Ġ5,340,Ġ4,7.994715e-12
328,ĠRevenge,326,on,7.973791e-12
345,:,259,:,7.890716e-12
326,on,326,on,7.827741e-12
342,ĠPuppet,344,Ġ5,7.799872e-12
328,ĠRevenge,328,ĠRevenge,7.767537e-12
202,Ġit,204,...,7.692917e-12
203,Ġdead,204,...,7.683693e-12
326,on,328,ĠRevenge,7.625279e-12
197,Ġ&,194,Ġwants,7.567425e-12
348,ĠChapter,262,ĠChapter,7.558828e-12
39,ĠInn,39,ĠInn,7.116332e-12
207,Ġ/,208,><,7.025876e-12
17,oul,17,oul,6.953617e-12
208,><,207,Ġ/,6.573038e-12
38,Ġan,40,Ġpuppet,6.256266e-12
194,Ġwants,196,Ġback,6.243332e-12
324,ĠT,16,ĠT,6.1068763e-12
340,Ġ4,258,Ġ5,5.967448e-12
196,Ġback,194,Ġwants,5.9199247e-12
326,on,18,on,5.7615414e-12
18,on,326,on,5.583319e-12
263,Ġ(,263,Ġ(,5.5527753e-12
342,ĠPuppet,338,ĠPuppet,5.5416973e-12
18,on,17,oul,5.4973448e-12
264,1994,263,Ġ(,5.476351e-12
339,ĠMaster,338,ĠPuppet,5.473302e-12
263,Ġ(,264,1994,5.4598934e-12
258,Ġ5,252,Ġ4,5.3962837e-12
264,1994,264,1994,5.3847478e-12
252,Ġ4,258,Ġ5,5.3742e-12
258,Ġ5,344,Ġ5,5.2398034e-12
17,oul,18,on,5.198214e-12
325,oul,43,oul,5.1338126e-12
269,ĠPuppet,269,ĠPuppet,4.998787e-12
195,Ġit,198,Ġeveryone,4.936009e-12
259,:,265,"),",4.869263e-12
197,Ġ&,198,Ġeveryone,4.662645e-12
344,Ġ5,258,Ġ5,4.597551e-12
251,ĠMaster,251,ĠMaster,4.5970424e-12
256,ĠPuppet,256,ĠPuppet,4.541761e-12
338,ĠPuppet,342,ĠPuppet,4.4825077e-12
338,ĠPuppet,339,ĠMaster,4.403092e-12
17,oul,43,oul,4.2372885e-12
198,Ġeveryone,197,Ġ&,4.169901e-12
18,on,18,on,4.1095695e-12
43,oul,17,oul,4.0343744e-12
37,Ġin,32,Ġescape,3.997943e-12
17,oul,20,Guy,3.966649e-12
76,Ġ(,76,Ġ(,3.9646975e-12
76,Ġ(,73,Ġhis,3.842035e-12
259,:,255,"),",3.8095707e-12
260,ĠThe,261,ĠFinal,3.7992083e-12
269,ĠPuppet,266,ĠCurse,3.7386236e-12
35,Ġhold,32,Ġescape,3.730404e-12
36,Ġup,34,",",3.7092183e-12
261,ĠFinal,260,ĠThe,3.6987483e-12
269,ĠPuppet,268,Ġthe,3.678865e-12
268,Ġthe,269,ĠPuppet,3.6503053e-12
196,Ġback,198,Ġeveryone,3.6475423e-12
30,Ġplan,30,Ġplan,3.6317353e-12
73,Ġhis,76,Ġ(,3.5729492e-12
269,ĠPuppet,267,Ġof,3.5560335e-12
259,:,261,ĠFinal,3.5373902e-12
6,ĠK,8,w,3.5372955e-12
267,Ġof,269,ĠPuppet,3.529007e-12
261,ĠFinal,259,:,3.505687e-12
195,Ġit,203,Ġdead,3.4829398e-12
195,Ġit,202,Ġit,3.4626776e-12
73,Ġhis,73,Ġhis,3.4624135e-12
34,",",36,Ġup,3.4511521e-12
341,Ġ&,341,Ġ&,3.3088903e-12
