test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9076040575609495,0.9198983639817573,0.0004463611862440532,17,37
0.9105994086018343,0.9093719168019998,0.00044401686395233,8,38
0.9146130439441649,0.9117081643460689,0.0004446536996910266,18,39
0.9299895127632464,0.9181494850689205,0.0004437526321236866,9,40
0.925199874860097,0.9140694266211293,0.00044675230598711105,9,41
0.9312907064649903,0.9364406622531093,0.0004412656290011626,27,42
0.9095650497469161,0.921923316483131,0.0004453782133448336,14,43
0.9073004086255664,0.9151084228606752,0.0004405075690146177,23,44
0.9019020917856182,0.9035298334280768,0.0004423326855655564,9,45
0.9203649494688206,0.908734610008564,0.00044345626987894683,9,46
