[I 2025-03-22 03:32:44,377] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-22 06:07:42,740] Trial 111 finished with value: 0.4969339846593004 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.86732440393667, 'batch_size': 80, 'attention_heads': 9, 'hidden_dimension': 118, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3771222252085853, 'global_pooling': 'sum', 'learning_rate': 0.00013318697922077715, 'weight_decay': 2.2329288310847302e-05, 'beta_0': 0.8217422610297507, 'beta_1': 0.9814308259068575, 'epsilon': 1.2304536558702931e-06, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-22 06:07:44,341] Trial 112 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8734834114683528, 'batch_size': 84, 'attention_heads': 8, 'hidden_dimension': 112, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41767116189918124, 'global_pooling': 'max', 'learning_rate': 0.00010733228045549322, 'weight_decay': 1.7589816859847888e-05, 'beta_0': 0.849376399308209, 'beta_1': 0.9820037195819269, 'epsilon': 3.218839273601145e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 06:20:37,104] Trial 113 finished with value: 0.6189290674206904 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8922678577298764, 'batch_size': 62, 'attention_heads': 9, 'hidden_dimension': 141, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4102520598459387, 'global_pooling': 'max', 'learning_rate': 0.00023348884962973819, 'weight_decay': 0.00010590683243795755, 'beta_0': 0.8326587757806432, 'beta_1': 0.9811275234626574, 'epsilon': 4.4811434056059057e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 06:33:32,516] Trial 114 finished with value: 0.6060590526447871 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8896389600561528, 'batch_size': 62, 'attention_heads': 9, 'hidden_dimension': 140, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4071225716443435, 'global_pooling': 'max', 'learning_rate': 0.00023292940424728549, 'weight_decay': 0.00010338614766279263, 'beta_0': 0.8328628632002488, 'beta_1': 0.9811192037020311, 'epsilon': 4.043348355017133e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 06:46:26,631] Trial 115 finished with value: 0.6204781144584751 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8953367773718869, 'batch_size': 66, 'attention_heads': 9, 'hidden_dimension': 147, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40022729468233403, 'global_pooling': 'max', 'learning_rate': 0.00022106937776631972, 'weight_decay': 0.00013958518543006425, 'beta_0': 0.8366827835866075, 'beta_1': 0.9808167523764384, 'epsilon': 4.547249284357372e-07, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 06:57:49,890] Trial 116 finished with value: 0.6105176843890555 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8961353163577088, 'batch_size': 59, 'attention_heads': 8, 'hidden_dimension': 147, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43836208509291325, 'global_pooling': 'max', 'learning_rate': 0.00058517950850639, 'weight_decay': 0.00013288802021422315, 'beta_0': 0.8293333643079208, 'beta_1': 0.9825736523684034, 'epsilon': 4.707572798800532e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 07:11:15,699] Trial 117 finished with value: 0.6213777752097126 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9012677406781995, 'batch_size': 67, 'attention_heads': 10, 'hidden_dimension': 151, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40052023355199784, 'global_pooling': 'max', 'learning_rate': 0.00027642655760859496, 'weight_decay': 0.00017567746501621835, 'beta_0': 0.8368329726855682, 'beta_1': 0.9800276655048482, 'epsilon': 2.0255784213296817e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 15, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 07:24:12,547] Trial 118 finished with value: 0.619367866385909 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.903249040588245, 'batch_size': 67, 'attention_heads': 10, 'hidden_dimension': 156, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40231166355689324, 'global_pooling': 'max', 'learning_rate': 0.00028836281900679935, 'weight_decay': 0.00026256443355394797, 'beta_0': 0.8263844459576167, 'beta_1': 0.9801635694178092, 'epsilon': 2.8738874461145284e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 07:36:29,851] Trial 119 finished with value: 0.6047369896027113 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9102002552815411, 'batch_size': 67, 'attention_heads': 9, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3864091461757007, 'global_pooling': 'max', 'learning_rate': 0.000261460974026704, 'weight_decay': 0.0002859106893574358, 'beta_0': 0.8266777015158873, 'beta_1': 0.9800472703694149, 'epsilon': 2.606549691764956e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
