[I 2025-03-28 18:46:14,062] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-28 20:57:30,239] Trial 178 finished with value: 0.6059485289245903 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.892428738419551, 'batch_size': 32, 'attention_heads': 8, 'hidden_dimension': 159, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5674419498619688, 'global_pooling': 'mean', 'learning_rate': 0.0013875984011884005, 'weight_decay': 4.514633931692471e-05, 'beta_0': 0.8062535752662188, 'beta_1': 0.9888388831257919, 'epsilon': 3.282147820722597e-06, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 164 with value: 0.6353441215843114.
[I 2025-03-28 21:06:54,444] Trial 179 finished with value: 0.594869846824794 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8848600367786393, 'batch_size': 32, 'attention_heads': 7, 'hidden_dimension': 153, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5420173116327647, 'global_pooling': 'mean', 'learning_rate': 0.0021916443064166013, 'weight_decay': 0.0006711871037989153, 'beta_0': 0.8019780032638776, 'beta_1': 0.9892340314755566, 'epsilon': 5.696978391820806e-06, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 164 with value: 0.6353441215843114.
[I 2025-03-28 21:16:13,844] Trial 180 finished with value: 0.5846633348416372 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8989637031660161, 'batch_size': 34, 'attention_heads': 8, 'hidden_dimension': 143, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5908949433925383, 'global_pooling': 'mean', 'learning_rate': 0.002533827081751877, 'weight_decay': 0.0009797581565073234, 'beta_0': 0.8074012066935577, 'beta_1': 0.988036213813349, 'epsilon': 4.69024782829234e-06, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 164 with value: 0.6353441215843114.
[I 2025-03-28 21:26:07,065] Trial 181 finished with value: 0.5796065668626977 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8881962097141619, 'batch_size': 40, 'attention_heads': 9, 'hidden_dimension': 147, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5466792487879855, 'global_pooling': 'mean', 'learning_rate': 0.000979793077600546, 'weight_decay': 0.0004465090298273654, 'beta_0': 0.8132382760458577, 'beta_1': 0.9899547553297352, 'epsilon': 5.4804634005332925e-06, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 164 with value: 0.6353441215843114.
[I 2025-03-28 21:36:44,433] Trial 182 finished with value: 0.5427498958495618 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8951412020713082, 'batch_size': 34, 'attention_heads': 8, 'hidden_dimension': 153, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5604393677802673, 'global_pooling': 'mean', 'learning_rate': 0.0003365485485382524, 'weight_decay': 0.0005752716105647147, 'beta_0': 0.8043187647667936, 'beta_1': 0.990440081653209, 'epsilon': 6.947368176115854e-06, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 164 with value: 0.6353441215843114.
[I 2025-03-28 21:46:36,350] Trial 183 finished with value: 0.6072591749779728 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8907459984842743, 'batch_size': 32, 'attention_heads': 10, 'hidden_dimension': 163, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5484208068854064, 'global_pooling': 'mean', 'learning_rate': 0.0017683917555347487, 'weight_decay': 0.0007934760535001395, 'beta_0': 0.8183531958211747, 'beta_1': 0.9909946159514662, 'epsilon': 5.509358096013087e-07, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 164 with value: 0.6353441215843114.
[I 2025-03-28 21:56:45,434] Trial 184 finished with value: 0.5850642493012863 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8688324314206075, 'batch_size': 35, 'attention_heads': 10, 'hidden_dimension': 157, 'number_of_hidden_layers': 0, 'dropout_rate': 0.575352572799862, 'global_pooling': 'mean', 'learning_rate': 0.003209634500843999, 'weight_decay': 0.0006090354222280194, 'beta_0': 0.811061519609844, 'beta_1': 0.9894201092642723, 'epsilon': 1.3690084448354675e-08, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 164 with value: 0.6353441215843114.
[I 2025-03-28 22:06:35,841] Trial 185 finished with value: 0.6264705272831649 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8603469065775701, 'batch_size': 38, 'attention_heads': 9, 'hidden_dimension': 138, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5336522377016467, 'global_pooling': 'mean', 'learning_rate': 0.002252199989754171, 'weight_decay': 0.0005306151365612051, 'beta_0': 0.8158846672992358, 'beta_1': 0.9888805999059185, 'epsilon': 6.65837807443313e-06, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 164 with value: 0.6353441215843114.
[I 2025-03-28 22:16:29,146] Trial 186 finished with value: 0.5952158795977651 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8623878059314162, 'batch_size': 38, 'attention_heads': 9, 'hidden_dimension': 143, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5302540441316552, 'global_pooling': 'mean', 'learning_rate': 0.0021653255511651496, 'weight_decay': 0.0005057471293178779, 'beta_0': 0.8164968347482189, 'beta_1': 0.988593481269189, 'epsilon': 4.126106463437297e-06, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 164 with value: 0.6353441215843114.
[I 2025-03-28 22:28:14,955] Trial 187 finished with value: 0.636473533198296 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8606255714110431, 'batch_size': 40, 'attention_heads': 9, 'hidden_dimension': 248, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5370660751587096, 'global_pooling': 'mean', 'learning_rate': 0.00181405954866844, 'weight_decay': 1.3916170013735009e-05, 'beta_0': 0.8213051502669401, 'beta_1': 0.9890450091302609, 'epsilon': 6.428477886762597e-06, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 187 with value: 0.636473533198296.
