test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.947849873682884,0.9558215128966496,0.002497426556255677,31,37
0.9449686416813184,0.958392365432168,0.0024911606894502253,27,38
0.9584066794048274,0.9453745970730791,0.0024938952601516883,30,39
0.9351650503256883,0.9501991058770414,0.002495309325209923,18,40
0.9343980989266698,0.9469465916734039,0.0024973412745071906,36,41
0.936144209945257,0.9625006255185762,0.0024906922388752066,28,42
0.9381427626591414,0.9472290412559375,0.0024927894292546496,31,43
0.9500507441375347,0.9530915409828955,0.0024921829812654134,31,44
0.9348967065787794,0.9451111415059396,0.002491595484775841,23,45
0.94545519293021,0.9460131848977706,0.0024865490489487455,30,46
