[I 2025-03-22 03:32:44,379] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-22 05:11:20,814] Trial 169 finished with value: 0.9237021444042512 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9535006169999256, 'batch_size': 127, 'attention_heads': 12, 'hidden_dimension': 40, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4075633396688144, 'global_pooling': 'max', 'learning_rate': 8.34131409686941e-05, 'weight_decay': 7.981573273709567e-06, 'beta_0': 0.8612546795758343, 'beta_1': 0.9983887823763086, 'epsilon': 2.908543194583478e-08, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 05:21:06,509] Trial 170 finished with value: 0.9525123322999749 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6929838639645665, 'batch_size': 240, 'attention_heads': 12, 'hidden_dimension': 48, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45109498905611645, 'global_pooling': 'max', 'learning_rate': 0.0002813072333510325, 'weight_decay': 5.39796663672137e-06, 'beta_0': 0.850303137824042, 'beta_1': 0.9969891515402541, 'epsilon': 1.9978243920411342e-08, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 05:33:16,523] Trial 171 finished with value: 0.9473034544327332 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6690942699093394, 'batch_size': 146, 'attention_heads': 14, 'hidden_dimension': 54, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4251212587786178, 'global_pooling': 'max', 'learning_rate': 0.00010639820736330268, 'weight_decay': 1.0271089847630152e-05, 'beta_0': 0.8480850370797527, 'beta_1': 0.9975070482704466, 'epsilon': 1.5793783943376343e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 05:43:43,792] Trial 172 finished with value: 0.9521679619775829 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7044162873475978, 'batch_size': 136, 'attention_heads': 16, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48950566154352027, 'global_pooling': 'max', 'learning_rate': 0.0001595058817575125, 'weight_decay': 6.125525887343027e-06, 'beta_0': 0.8521902892683058, 'beta_1': 0.9963055566982811, 'epsilon': 2.178088579154107e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 05:53:29,525] Trial 173 finished with value: 0.9444946454522172 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6973623431687257, 'batch_size': 116, 'attention_heads': 11, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.383412435907191, 'global_pooling': 'max', 'learning_rate': 0.0001277299671041587, 'weight_decay': 1.3508297163580428e-05, 'beta_0': 0.8540008194675439, 'beta_1': 0.997871597930701, 'epsilon': 3.441565688212922e-08, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 06:04:57,079] Trial 174 finished with value: 0.944150176074434 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6800763619557526, 'batch_size': 122, 'attention_heads': 13, 'hidden_dimension': 80, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5014780480114149, 'global_pooling': 'max', 'learning_rate': 0.00035773376232694305, 'weight_decay': 7.567226044041494e-06, 'beta_0': 0.8628466636782598, 'beta_1': 0.9985871560229417, 'epsilon': 4.5163913334859324e-08, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 06:15:52,686] Trial 175 finished with value: 0.9472725784711139 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6746892290878977, 'batch_size': 140, 'attention_heads': 12, 'hidden_dimension': 43, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5470004530513162, 'global_pooling': 'max', 'learning_rate': 0.00021989067454311452, 'weight_decay': 3.29593122609968e-06, 'beta_0': 0.8497339070958678, 'beta_1': 0.9965575111506948, 'epsilon': 1.012478602212839e-08, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 06:25:55,330] Trial 176 finished with value: 0.9594046934404998 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7117664357559207, 'batch_size': 130, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3928207881862926, 'global_pooling': 'max', 'learning_rate': 0.00013086319874586807, 'weight_decay': 9.363649175105167e-06, 'beta_0': 0.8566183690631689, 'beta_1': 0.9975777962804259, 'epsilon': 2.5403142966871812e-08, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 06:36:43,335] Trial 177 finished with value: 0.9532406491487546 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7076805928209022, 'batch_size': 129, 'attention_heads': 11, 'hidden_dimension': 57, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39312338356538956, 'global_pooling': 'max', 'learning_rate': 0.00018400329195210485, 'weight_decay': 9.087758277528122e-06, 'beta_0': 0.857094600852711, 'beta_1': 0.997333585592884, 'epsilon': 2.505922839285851e-08, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 90 with value: 0.9637021038983449.
[I 2025-03-22 06:47:00,384] Trial 178 finished with value: 0.9434390252891747 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7143534251411559, 'batch_size': 150, 'attention_heads': 10, 'hidden_dimension': 49, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36490749914740567, 'global_pooling': 'max', 'learning_rate': 0.00010249607711390897, 'weight_decay': 1.084727100075651e-05, 'beta_0': 0.8462393724673366, 'beta_1': 0.9981882733176334, 'epsilon': 1.3853251441042623e-08, 'balanced_loss': False, 'epochs': 89, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 90 with value: 0.9637021038983449.
