[I 2025-04-03 04:44:11,174] Using an existing study with name 'IMDb-top_1000-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1113 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-04-03 06:37:58,179] Trial 84 finished with value: 0.9393939393939394 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 16, 'attention_heads': 4, 'hidden_dimension': 247, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4681829713833795, 'global_pooling': 'mean', 'learning_rate': 0.00022008790333808798, 'weight_decay': 5.6688198477734224e-05, 'beta_0': 0.8708082211199079, 'beta_1': 0.9932227248847068, 'epsilon': 4.3581275095958526e-07, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 06:47:41,829] Trial 85 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 6, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 255, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4872472198608539, 'global_pooling': 'mean', 'learning_rate': 0.00026483651566894814, 'weight_decay': 4.107164272697741e-05, 'beta_0': 0.8771729459196095, 'beta_1': 0.9948805791925542, 'epsilon': 5.5110984886511106e-08, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 17, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 06:56:51,261] Trial 86 finished with value: 0.9575757575757575 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 17, 'attention_heads': 5, 'hidden_dimension': 207, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4995981550891476, 'global_pooling': 'mean', 'learning_rate': 0.000306098513095895, 'weight_decay': 6.928120921431367e-05, 'beta_0': 0.8727043102852581, 'beta_1': 0.9915297848005984, 'epsilon': 1.3589425940682003e-06, 'balanced_loss': True, 'epochs': 119, 'early_stopping_patience': 18, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 07:05:05,174] Trial 87 finished with value: 0.9515151515151515 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 195, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5027857136143367, 'global_pooling': 'mean', 'learning_rate': 0.000378666306850161, 'weight_decay': 0.00010381963525449444, 'beta_0': 0.8818528762401779, 'beta_1': 0.9913312175641862, 'epsilon': 1.6206772195608684e-06, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 07:15:29,047] Trial 88 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 23, 'attention_heads': 5, 'hidden_dimension': 204, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5119605641590824, 'global_pooling': 'mean', 'learning_rate': 3.832933871506255e-05, 'weight_decay': 0.0002030682666151459, 'beta_0': 0.8105922159313598, 'beta_1': 0.9926100164616902, 'epsilon': 3.061288105272331e-06, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 07:31:28,599] Trial 89 finished with value: 0.9454545454545454 and parameters: {'left_stride': 0, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 21, 'attention_heads': 5, 'hidden_dimension': 185, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3874862049243548, 'global_pooling': 'mean', 'learning_rate': 2.1420111562358572e-05, 'weight_decay': 3.141210076868359e-05, 'beta_0': 0.8862340827755387, 'beta_1': 0.9938503300992144, 'epsilon': 2.0510596304725614e-06, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 16, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 07:39:06,643] Trial 90 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 176, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3641445340140828, 'global_pooling': 'max', 'learning_rate': 7.912673026266403e-05, 'weight_decay': 5.133804191997766e-05, 'beta_0': 0.835655630035728, 'beta_1': 0.9904093945247636, 'epsilon': 8.643196528822598e-07, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 07:53:53,617] Trial 91 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 20, 'attention_heads': 12, 'hidden_dimension': 221, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4977918721726429, 'global_pooling': 'mean', 'learning_rate': 0.0009263243564003725, 'weight_decay': 1.9148884927437264e-05, 'beta_0': 0.8215321064749952, 'beta_1': 0.9918445186405038, 'epsilon': 1.0750248746715616e-08, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 08:03:16,254] Trial 92 finished with value: 0.9454545454545454 and parameters: {'left_stride': 128, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 17, 'attention_heads': 6, 'hidden_dimension': 228, 'number_of_hidden_layers': 4, 'dropout_rate': 0.48027397499459695, 'global_pooling': 'sum', 'learning_rate': 0.0005850028237292152, 'weight_decay': 2.5556134822015647e-05, 'beta_0': 0.8730647122565334, 'beta_1': 0.9892909762565096, 'epsilon': 5.218361720638024e-06, 'balanced_loss': True, 'epochs': 124, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 08:14:45,831] Trial 93 finished with value: 0.9393939393939394 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 25, 'attention_heads': 6, 'hidden_dimension': 171, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3115254324793868, 'global_pooling': 'mean', 'learning_rate': 1.1336434687823503e-05, 'weight_decay': 7.791085478423908e-05, 'beta_0': 0.8677860423145033, 'beta_1': 0.9958385298718694, 'epsilon': 1.2753793112935375e-06, 'balanced_loss': True, 'epochs': 118, 'early_stopping_patience': 19, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 08:27:16,026] Trial 94 finished with value: 0.9515151515151515 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 16, 'attention_heads': 10, 'hidden_dimension': 211, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5229742770383083, 'global_pooling': 'mean', 'learning_rate': 0.0003008983740533817, 'weight_decay': 6.529136912776962e-05, 'beta_0': 0.8714333369249616, 'beta_1': 0.9931961706827835, 'epsilon': 2.4693040959766163e-07, 'balanced_loss': True, 'epochs': 139, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 08:36:42,010] Trial 95 finished with value: 0.9393939393939394 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 6, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 216, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5110943417281815, 'global_pooling': 'mean', 'learning_rate': 0.0015272996791184815, 'weight_decay': 0.0005952132394186115, 'beta_0': 0.8769689910248788, 'beta_1': 0.9910799756113566, 'epsilon': 3.765404332437481e-08, 'balanced_loss': True, 'epochs': 131, 'early_stopping_patience': 18, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 44 with value: 0.9575757575757575.
