test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9194029850746268,0.9151515151515152,0.0010200749582319117,19,37
0.9253731343283582,0.9151515151515152,0.0010207083687853457,16,38
0.9253731343283582,0.9151515151515152,0.0010159649066071013,29,39
0.9164179104477612,0.9030303030303031,0.0010265457096384533,16,40
0.9164179104477612,0.9272727272727272,0.0010197774687809732,30,41
0.9194029850746268,0.9272727272727272,0.0010276965240934002,16,42
0.9194029850746268,0.9030303030303031,0.0010201824245168203,27,43
0.9253731343283582,0.9090909090909091,0.001019746865799178,15,44
0.9164179104477612,0.896969696969697,0.0010316293631026994,21,45
0.9194029850746268,0.9212121212121213,0.0010208136999785011,21,46
