test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.5879634871460204,0.5725291808810872,0.0011849668749541065,25,37
0.588905950942192,0.5675558287093423,0.0011932963107795724,25,38
0.5690515291450897,0.5844765410917282,0.0011876056962693766,24,39
0.5813940952192929,0.5729430403420618,0.0011890981269891152,29,40
0.5672531264921428,0.5716690345781068,0.0011912978524003558,13,41
0.5663455568741954,0.5681475804002243,0.0011897631396818008,26,42
0.5990231201662194,0.5673680182200588,0.0011896752143537176,27,43
0.5652962599944342,0.5437841245415808,0.0011880230319815462,20,44
0.5714230496663653,0.5730002458864959,0.0011896589974085647,24,45
0.5626156938897349,0.5538435366150731,0.001189562816181131,22,46
