test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9432835820895522,0.9393939393939394,0.005486575881047035,14,37
0.9402985074626866,0.9333333333333333,0.005469932129133993,19,38
0.9462686567164179,0.9333333333333333,0.005450662214364578,25,39
0.9373134328358209,0.9454545454545454,0.005520295385104507,34,40
0.9552238805970149,0.9333333333333333,0.005552508226081506,22,41
0.9611940298507463,0.9515151515151515,0.005488461878762316,29,42
0.9432835820895522,0.9454545454545454,0.005489541523492158,27,43
0.9373134328358209,0.9393939393939394,0.0054923014854317284,28,44
0.9402985074626866,0.9333333333333333,0.005555113749717598,19,45
0.9522388059701492,0.9393939393939394,0.005449816718030332,24,46
