test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.6234499632147417,0.6077954178175756,0.003119931785947699,22,37
0.6031487939096702,0.6002653340047671,0.0031280759358034553,25,38
0.6021202298857586,0.6037786721541679,0.003119725034639678,25,39
0.5911481454761381,0.5929626436703012,0.003124565350487478,28,40
0.5811369722900644,0.5729660387259091,0.003123401858386149,17,41
0.5961290655484481,0.5919059050168927,0.00311936413389664,32,42
0.595478108574699,0.5889809066913638,0.003184838251344585,27,43
0.6181622825071702,0.5877206395352029,0.003121532427919639,28,44
0.5980851370408045,0.5899015899540856,0.0031177258686119454,21,45
0.609818639946627,0.5952464701202225,0.003119019862893723,31,46
