test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.6483161202568326,0.6436876453281173,0.0014580408299644484,43,37
0.6435481992369373,0.6532740702025445,0.0014593578817936974,38,38
0.626850059939695,0.6477390696864765,0.0014553767102147399,30,39
0.6609421274560275,0.652395683805129,0.001486746179211296,47,40
0.6483218180152088,0.6422655961963503,0.0014561591335903322,25,41
0.639157592599719,0.6371256019294356,0.0014580550419054732,33,42
0.6401710616135717,0.6405169187510261,0.0014565035815053784,38,43
0.6359029601778531,0.6429182883640919,0.0014517251259319975,24,44
0.635087544310381,0.6344331869617319,0.0014537809038409908,29,45
0.6548270021131137,0.6464204325672577,0.0014528488128043152,41,46
