test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.8567164179104477,0.8363636363636363,0.0013299351307883192,21,37
0.8776119402985074,0.8363636363636363,0.0013200510793657445,21,38
0.8746268656716418,0.8181818181818182,0.0013196354481711317,23,39
0.8626865671641791,0.8484848484848485,0.0013194603706473734,17,40
0.8686567164179104,0.8484848484848485,0.0013183237901374476,25,41
0.8716417910447761,0.8666666666666667,0.0013192724825730965,30,42
0.8716417910447761,0.8181818181818182,0.001311044550653714,21,43
0.835820895522388,0.8363636363636363,0.0013175259775190212,12,44
0.8746268656716418,0.8363636363636363,0.0013256749110435373,18,45
0.8298507462686567,0.8363636363636363,0.0013192418795913013,11,46
