[I 2025-01-08 09:47:53,646] A new study created in RDB with name: RTSP-GATv2-facebook-bart-large-Grouped-No_Aggregation
[I 2025-01-08 11:25:15,162] Trial 11 finished with value: 0.9008438818565401 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5769719476801456, 'batch_size': 37, 'attention_heads': 12, 'hidden_dimension': 38, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46431162121784764, 'global_pooling': 'max', 'learning_rate': 0.004018492967981202, 'weight_decay': 0.0009319239147570491, 'beta_0': 0.8003208348488942, 'beta_1': 0.9800855754997134, 'epsilon': 4.707920864205487e-05, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 10 with value: 0.9043600562587905.
[I 2025-01-08 11:34:24,183] Trial 12 finished with value: 0.9064697609001406 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5634625950007384, 'batch_size': 37, 'attention_heads': 13, 'hidden_dimension': 160, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4276768393091486, 'global_pooling': 'max', 'learning_rate': 0.005497984861072498, 'weight_decay': 0.00019114563517133302, 'beta_0': 0.8014178581335532, 'beta_1': 0.9843650455214782, 'epsilon': 2.5402851281586394e-06, 'balanced_loss': False, 'epochs': 97, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 11:44:18,808] Trial 13 finished with value: 0.90014064697609 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.519958695212445, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 145, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5011468793857617, 'global_pooling': 'max', 'learning_rate': 0.00727162920947739, 'weight_decay': 0.00010760144536033009, 'beta_0': 0.8020756003065241, 'beta_1': 0.9830920916317509, 'epsilon': 9.950219621001603e-05, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 11:50:51,372] Trial 14 finished with value: 0.9057665260196905 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6384412803198778, 'batch_size': 140, 'attention_heads': 14, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4202898712956748, 'global_pooling': 'max', 'learning_rate': 0.00030118754849826624, 'weight_decay': 0.0009901489381618361, 'beta_0': 0.8144301538291292, 'beta_1': 0.9831964143162024, 'epsilon': 3.399011563552094e-06, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 11:57:51,423] Trial 15 finished with value: 0.9050632911392406 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6241742468072887, 'batch_size': 160, 'attention_heads': 14, 'hidden_dimension': 89, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4023132234551413, 'global_pooling': 'max', 'learning_rate': 0.00017305896016880695, 'weight_decay': 0.00035760524743360674, 'beta_0': 0.8171707801711957, 'beta_1': 0.9850367250468, 'epsilon': 2.6074549502094038e-06, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 12:04:29,084] Trial 16 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8473796016574446, 'batch_size': 189, 'attention_heads': 10, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3096049203555311, 'global_pooling': 'sum', 'learning_rate': 0.08764993174694127, 'weight_decay': 0.00012083163294977516, 'beta_0': 0.8113791117782926, 'beta_1': 0.9875084392003012, 'epsilon': 1.3035337945470066e-05, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 12:11:43,279] Trial 17 finished with value: 0.89943741209564 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5000268692947324, 'batch_size': 121, 'attention_heads': 14, 'hidden_dimension': 72, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4144008558141886, 'global_pooling': 'max', 'learning_rate': 0.0004766916451540554, 'weight_decay': 3.319726987395929e-05, 'beta_0': 0.8329986404112305, 'beta_1': 0.9832941948314938, 'epsilon': 1.6752763432133722e-06, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 12:18:40,192] Trial 18 finished with value: 0.9050632911392406 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6368878420913504, 'batch_size': 176, 'attention_heads': 11, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5152428700683146, 'global_pooling': 'max', 'learning_rate': 8.894151452048167e-05, 'weight_decay': 0.000501415927372141, 'beta_0': 0.8608551830786336, 'beta_1': 0.9826133709485416, 'epsilon': 7.994495528615753e-06, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 12:26:12,076] Trial 19 finished with value: 0.8973277074542897 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7471761709276927, 'batch_size': 129, 'attention_heads': 14, 'hidden_dimension': 164, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3688328379021202, 'global_pooling': 'sum', 'learning_rate': 4.429757129967316e-05, 'weight_decay': 0.00015652489535494232, 'beta_0': 0.8133120780866697, 'beta_1': 0.9866445123365627, 'epsilon': 1.730444586379874e-05, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 12 with value: 0.9064697609001406.
[I 2025-01-08 12:34:22,574] Trial 20 finished with value: 0.9057665260196905 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.504088625919688, 'batch_size': 61, 'attention_heads': 15, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4397100281072358, 'global_pooling': 'max', 'learning_rate': 0.00046798499832443854, 'weight_decay': 8.173711281316644e-05, 'beta_0': 0.8319094251655369, 'beta_1': 0.9903193219046131, 'epsilon': 8.958374986183668e-07, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 12 with value: 0.9064697609001406.
