test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9460935041028218,0.9511044718511945,0.0002361533303084358,14,37
0.9394096851640719,0.9515380313517805,0.00023591589197931686,16,38
0.9354928169614894,0.9619502709992351,0.00023454898783691183,22,39
0.9372426184551397,0.9592855214736341,0.0002365216864685644,22,40
0.9384354155895243,0.95294294755748,0.00023315365644501135,16,41
0.9433981686372642,0.9664791241315565,0.00023663996996646497,25,42
0.9399967213915699,0.9468574627085536,0.00023533525723962273,16,43
0.9319904467840523,0.9518021684070346,0.00023518811082556782,11,44
0.9425616398661156,0.9536795574509319,0.00023529724532363075,13,45
0.9444055155956304,0.9550832393343485,0.0002353061764901389,20,46
