test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9405358124455959,0.9633422208560083,0.0010191814819935415,61,37
0.9480104675688525,0.9608082356506167,0.001019242584242457,61,38
0.9458952860592523,0.9671430269142054,0.0010205413065527387,58,39
0.9257580868420883,0.9679374539659193,0.0010263249992834155,36,40
0.9443843610146769,0.9562196790076014,0.0010279869586705835,46,41
0.9390613951731549,0.9614776752768712,0.0010223965930198087,37,42
0.9452293959502209,0.961845038225337,0.00102067364030039,47,43
0.9409755997081437,0.9672397027754227,0.001022067882525643,28,44
0.9452398072747042,0.9549155616375096,0.001021764331781031,32,45
0.9503174187700993,0.9643280663031718,0.0010270646523536204,46,46
