[I 2025-03-31 10:09:57,961] A new study created in RDB with name: Ohsumed-GATv2-facebook-bart-large-Grouped-Sliding_Windows
[I 2025-03-31 13:47:56,009] Trial 10 finished with value: 0.5748044255084317 and parameters: {'left_stride': 0, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 7, 'batch_size': 64, 'attention_heads': 4, 'hidden_dimension': 179, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31744082916993893, 'global_pooling': 'max', 'learning_rate': 1.2999096403275222e-05, 'weight_decay': 0.00040678624177606896, 'beta_0': 0.8911015084641252, 'beta_1': 0.9869533784481689, 'epsilon': 2.0522153265271937e-06, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 6 with value: 0.6264595328767617.
[I 2025-03-31 14:08:20,160] Trial 11 finished with value: 0.021726894067319598 and parameters: {'left_stride': 0, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 10, 'batch_size': 65, 'attention_heads': 7, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47680128310142433, 'global_pooling': 'max', 'learning_rate': 0.008199092994508213, 'weight_decay': 0.0001831156746083134, 'beta_0': 0.8024110636304407, 'beta_1': 0.9805139216796004, 'epsilon': 4.5327015648549075e-05, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 6 with value: 0.6264595328767617.
[I 2025-03-31 14:32:12,467] Trial 12 finished with value: 0.5922878578264937 and parameters: {'left_stride': 0, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 8, 'batch_size': 68, 'attention_heads': 7, 'hidden_dimension': 186, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47700653762336565, 'global_pooling': 'max', 'learning_rate': 0.004199814683912786, 'weight_decay': 0.0001222758455712114, 'beta_0': 0.8321404440297921, 'beta_1': 0.9868695359863575, 'epsilon': 8.27934922196197e-05, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 6 with value: 0.6264595328767617.
[I 2025-03-31 14:49:36,103] Trial 13 finished with value: 0.6050479796736764 and parameters: {'left_stride': 0, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 33, 'attention_heads': 8, 'hidden_dimension': 132, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5941486993933245, 'global_pooling': 'max', 'learning_rate': 0.002122352002178545, 'weight_decay': 0.0009046740969152987, 'beta_0': 0.8331540859777327, 'beta_1': 0.984085792385426, 'epsilon': 1.3869719213357227e-06, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 6 with value: 0.6264595328767617.
[I 2025-03-31 15:05:49,471] Trial 14 finished with value: 0.5973475929231589 and parameters: {'left_stride': 128, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 8, 'batch_size': 98, 'attention_heads': 6, 'hidden_dimension': 139, 'number_of_hidden_layers': 0, 'dropout_rate': 0.599596710585122, 'global_pooling': 'max', 'learning_rate': 0.00817359533524006, 'weight_decay': 0.0009074537352929718, 'beta_0': 0.8389973217940998, 'beta_1': 0.9878245386056381, 'epsilon': 1.1733032154342636e-06, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 10, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 6 with value: 0.6264595328767617.
[I 2025-03-31 15:23:02,024] Trial 15 finished with value: 0.6287360457373233 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 8, 'batch_size': 80, 'attention_heads': 5, 'hidden_dimension': 140, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3816789766761544, 'global_pooling': 'max', 'learning_rate': 0.0009567984945884535, 'weight_decay': 0.0009297876355960234, 'beta_0': 0.8019956544092295, 'beta_1': 0.9841768112697857, 'epsilon': 1.658327139283075e-08, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 15 with value: 0.6287360457373233.
[I 2025-03-31 15:39:26,367] Trial 16 finished with value: 0.6558430845441042 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 80, 'attention_heads': 5, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3654196533851468, 'global_pooling': 'max', 'learning_rate': 0.0005485071109576289, 'weight_decay': 0.0001408313014156901, 'beta_0': 0.8012453431780788, 'beta_1': 0.9842848952269514, 'epsilon': 1.5025306473817256e-08, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 15:59:35,762] Trial 17 finished with value: 0.6381322999219808 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 78, 'attention_heads': 16, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34746409027640185, 'global_pooling': 'max', 'learning_rate': 0.0004352556987012767, 'weight_decay': 0.0002758641904135432, 'beta_0': 0.8028046412223563, 'beta_1': 0.9837833332343491, 'epsilon': 1.0798467218170839e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 16:27:54,382] Trial 18 finished with value: 0.6327520643657891 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 79, 'attention_heads': 16, 'hidden_dimension': 215, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3077716321822897, 'global_pooling': 'sum', 'learning_rate': 0.0003945848049639544, 'weight_decay': 0.0001506747362249924, 'beta_0': 0.8972569657953507, 'beta_1': 0.9895884872472172, 'epsilon': 2.7520385121610252e-08, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 16 with value: 0.6558430845441042.
[I 2025-03-31 16:57:34,418] Trial 19 finished with value: 0.6185696290023658 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 53, 'attention_heads': 16, 'hidden_dimension': 207, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34658523603502783, 'global_pooling': 'mean', 'learning_rate': 3.6963449519138755e-05, 'weight_decay': 0.00035962914919095607, 'beta_0': 0.8167961239357997, 'beta_1': 0.982828660589465, 'epsilon': 2.990048566378993e-08, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 16 with value: 0.6558430845441042.
