[I 2025-04-06 03:27:02,504] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
[I 2025-04-06 07:54:17,327] Trial 183 finished with value: 0.6506438470771524 and parameters: {'left_stride': 32, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 99, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5206614254908108, 'global_pooling': 'mean', 'learning_rate': 0.0003830478335065713, 'weight_decay': 0.00033445948743531965, 'beta_0': 0.8542019775038653, 'beta_1': 0.9945562467947718, 'epsilon': 2.484216677610123e-06, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 08:12:52,424] Trial 184 finished with value: 0.62089551754452 and parameters: {'left_stride': 0, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 217, 'number_of_hidden_layers': 1, 'dropout_rate': 0.487014317166729, 'global_pooling': 'sum', 'learning_rate': 0.00048284839925727033, 'weight_decay': 0.000556819195804539, 'beta_0': 0.842441106868295, 'beta_1': 0.983893233912602, 'epsilon': 3.72333833388569e-06, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 08:31:43,905] Trial 185 finished with value: 0.6624345469821503 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 104, 'attention_heads': 5, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5130043889512607, 'global_pooling': 'mean', 'learning_rate': 0.001877983447391355, 'weight_decay': 0.00020659393126075154, 'beta_0': 0.8524229109274927, 'beta_1': 0.994820850491099, 'epsilon': 4.824250167926016e-06, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 08:50:44,652] Trial 186 finished with value: 0.6483064670116722 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 103, 'attention_heads': 5, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5111153170998521, 'global_pooling': 'mean', 'learning_rate': 0.0019004269696022375, 'weight_decay': 0.0002033313504587711, 'beta_0': 0.8284364865409174, 'beta_1': 0.9947916937827967, 'epsilon': 4.105619594158277e-06, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 09:09:51,438] Trial 187 finished with value: 0.6350720064631609 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 106, 'attention_heads': 6, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5028764877027567, 'global_pooling': 'mean', 'learning_rate': 0.0024886870124951038, 'weight_decay': 0.00018532462320307346, 'beta_0': 0.8480288560706596, 'beta_1': 0.9936714575603884, 'epsilon': 5.0783936305334295e-06, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 09:28:40,338] Trial 188 finished with value: 0.6439473991582065 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 100, 'attention_heads': 5, 'hidden_dimension': 213, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5167889563992564, 'global_pooling': 'mean', 'learning_rate': 0.0016251201610243278, 'weight_decay': 0.00027876854651160007, 'beta_0': 0.8518909363425914, 'beta_1': 0.9942270699928589, 'epsilon': 6.3431285261810565e-06, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 09:47:56,670] Trial 189 finished with value: 0.6441771839532378 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 126, 'attention_heads': 5, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40868694532848004, 'global_pooling': 'mean', 'learning_rate': 0.0006602813901108798, 'weight_decay': 0.0001585280698946054, 'beta_0': 0.8566567794261596, 'beta_1': 0.980012423080157, 'epsilon': 2.306399223485137e-07, 'balanced_loss': True, 'epochs': 190, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 10:07:18,855] Trial 190 finished with value: 0.6528801576672882 and parameters: {'left_stride': 64, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 111, 'attention_heads': 5, 'hidden_dimension': 222, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5278116237792188, 'global_pooling': 'mean', 'learning_rate': 0.0010995093606787135, 'weight_decay': 0.00022015283759974685, 'beta_0': 0.8452039361948755, 'beta_1': 0.9982653748776907, 'epsilon': 2.3258969793422697e-06, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 10:26:28,258] Trial 191 finished with value: 0.6341727995671456 and parameters: {'left_stride': 32, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 105, 'attention_heads': 4, 'hidden_dimension': 198, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4923787964441911, 'global_pooling': 'mean', 'learning_rate': 0.00031540232173938264, 'weight_decay': 0.0008862145286446467, 'beta_0': 0.8534901111326268, 'beta_1': 0.9932553169775745, 'epsilon': 8.498800565462767e-06, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-06 10:47:31,917] Trial 192 finished with value: 0.6449422017647111 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 8, 'batch_size': 108, 'attention_heads': 12, 'hidden_dimension': 191, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5532463332363751, 'global_pooling': 'mean', 'learning_rate': 0.00017121178984957292, 'weight_decay': 0.00036298762699885057, 'beta_0': 0.8609820543508399, 'beta_1': 0.9951377684981889, 'epsilon': 1.1498477746611646e-08, 'balanced_loss': True, 'epochs': 131, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 97 with value: 0.6752887550206477.
