[I 2025-04-05 05:29:06,699] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
[I 2025-04-05 09:58:15,547] Trial 152 finished with value: 0.6049190737001264 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 91, 'attention_heads': 13, 'hidden_dimension': 147, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5349068560994785, 'global_pooling': 'sum', 'learning_rate': 0.00029054399726118925, 'weight_decay': 0.0002854109923532522, 'beta_0': 0.8542019775038653, 'beta_1': 0.9945076517655017, 'epsilon': 6.755444478914641e-06, 'balanced_loss': True, 'epochs': 155, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 10:22:27,391] Trial 153 finished with value: 0.663965394185708 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 89, 'attention_heads': 14, 'hidden_dimension': 219, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5140419197924315, 'global_pooling': 'mean', 'learning_rate': 0.000611320974621212, 'weight_decay': 0.0008288735982698071, 'beta_0': 0.8843412042398313, 'beta_1': 0.9964942342754529, 'epsilon': 1.3521606820317327e-06, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 15, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 10:44:30,476] Trial 154 finished with value: 0.6313308076221986 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 88, 'attention_heads': 14, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5146292617924694, 'global_pooling': 'mean', 'learning_rate': 0.0008765992522953583, 'weight_decay': 0.0009987079141274232, 'beta_0': 0.8964460262421776, 'beta_1': 0.9954648209781061, 'epsilon': 1.2315018291298232e-06, 'balanced_loss': True, 'epochs': 138, 'early_stopping_patience': 15, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 11:07:30,235] Trial 155 finished with value: 0.6557741835253359 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 96, 'attention_heads': 14, 'hidden_dimension': 218, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5438000875864637, 'global_pooling': 'mean', 'learning_rate': 0.0006344980849648871, 'weight_decay': 0.0007956587869921073, 'beta_0': 0.8777015602447124, 'beta_1': 0.9801087272463858, 'epsilon': 1.7134198397192968e-06, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 11:32:25,050] Trial 156 finished with value: 0.6399935366938202 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 95, 'attention_heads': 14, 'hidden_dimension': 210, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5441132002894252, 'global_pooling': 'mean', 'learning_rate': 0.0005604402124596586, 'weight_decay': 0.0008244590419079644, 'beta_0': 0.8837374000682232, 'beta_1': 0.9812465135035124, 'epsilon': 2.0092688373677354e-06, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 11:56:07,632] Trial 157 finished with value: 0.6393599364185495 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 101, 'attention_heads': 14, 'hidden_dimension': 220, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5594202558595119, 'global_pooling': 'mean', 'learning_rate': 0.0007073381475807619, 'weight_decay': 0.0006656379254484468, 'beta_0': 0.8801183685732559, 'beta_1': 0.9807531989212005, 'epsilon': 1.6089963000314166e-06, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 12:19:32,829] Trial 158 finished with value: 0.6481063537746096 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 98, 'attention_heads': 14, 'hidden_dimension': 213, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5475979440620043, 'global_pooling': 'mean', 'learning_rate': 0.0006233624296533789, 'weight_decay': 0.0007800081821229597, 'beta_0': 0.8882300871996721, 'beta_1': 0.982518699458503, 'epsilon': 2.936293129551583e-06, 'balanced_loss': True, 'epochs': 148, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 12:43:37,332] Trial 159 finished with value: 0.6407184157794267 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 81, 'attention_heads': 15, 'hidden_dimension': 218, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5322893328621932, 'global_pooling': 'max', 'learning_rate': 0.0004227781605685225, 'weight_decay': 0.0008672957028498503, 'beta_0': 0.8569768062004305, 'beta_1': 0.9805108295173323, 'epsilon': 1.0281171381905691e-06, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 13:08:23,153] Trial 160 finished with value: 0.6452101095125723 and parameters: {'left_stride': 0, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 89, 'attention_heads': 15, 'hidden_dimension': 229, 'number_of_hidden_layers': 1, 'dropout_rate': 0.566261133916865, 'global_pooling': 'mean', 'learning_rate': 0.0008997125596610815, 'weight_decay': 0.0005721421287493334, 'beta_0': 0.8770981487945538, 'beta_1': 0.9801869644562481, 'epsilon': 1.277680268113091e-06, 'balanced_loss': True, 'epochs': 140, 'early_stopping_patience': 15, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-05 13:31:30,142] Trial 161 finished with value: 0.6536017001793616 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 94, 'attention_heads': 13, 'hidden_dimension': 208, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5402408096542062, 'global_pooling': 'mean', 'learning_rate': 0.0005395955511109589, 'weight_decay': 7.878877205213622e-05, 'beta_0': 0.8922117086406696, 'beta_1': 0.9963598609793359, 'epsilon': 1.7543903668315806e-06, 'balanced_loss': True, 'epochs': 153, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
