[I 2025-04-03 10:45:09,709] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
[I 2025-04-03 15:20:38,037] Trial 92 finished with value: 0.6588381259112246 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 104, 'attention_heads': 9, 'hidden_dimension': 211, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5501853309830822, 'global_pooling': 'mean', 'learning_rate': 0.0003918485092772722, 'weight_decay': 0.0009626152536671825, 'beta_0': 0.8303825121372506, 'beta_1': 0.9983164414414678, 'epsilon': 1.9647397263036295e-07, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 79 with value: 0.673535953878287.
[I 2025-04-03 15:39:26,193] Trial 93 finished with value: 0.598193013583068 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 104, 'attention_heads': 5, 'hidden_dimension': 210, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5502618733600895, 'global_pooling': 'mean', 'learning_rate': 0.0004196374381805803, 'weight_decay': 0.0009332113775116026, 'beta_0': 0.8304002141285246, 'beta_1': 0.9984739320867329, 'epsilon': 5.13829632894311e-07, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 79 with value: 0.673535953878287.
[I 2025-04-03 16:01:19,537] Trial 94 finished with value: 0.6458134722185451 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 97, 'attention_heads': 9, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5417130669415021, 'global_pooling': 'mean', 'learning_rate': 0.00022295019451854927, 'weight_decay': 0.0009984405879930513, 'beta_0': 0.8432564326526658, 'beta_1': 0.9975777752715755, 'epsilon': 1.6192474971749967e-07, 'balanced_loss': True, 'epochs': 196, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 79 with value: 0.673535953878287.
[I 2025-04-03 16:19:50,685] Trial 95 finished with value: 0.6608958981294013 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 100, 'attention_heads': 4, 'hidden_dimension': 216, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5587993880731197, 'global_pooling': 'mean', 'learning_rate': 0.0011237005990768411, 'weight_decay': 0.0004737326139487979, 'beta_0': 0.8497059342587436, 'beta_1': 0.9987362810204394, 'epsilon': 2.1923076221604321e-07, 'balanced_loss': True, 'epochs': 187, 'early_stopping_patience': 15, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 79 with value: 0.673535953878287.
[I 2025-04-03 16:37:52,867] Trial 96 finished with value: 0.62913436975765 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 100, 'attention_heads': 4, 'hidden_dimension': 190, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5656003488791507, 'global_pooling': 'mean', 'learning_rate': 0.001102166320959205, 'weight_decay': 0.00046412234913677746, 'beta_0': 0.8395183120870994, 'beta_1': 0.9987413303607695, 'epsilon': 2.3928540272721285e-07, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 12, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 79 with value: 0.673535953878287.
[I 2025-04-03 16:55:36,350] Trial 97 finished with value: 0.6752887550206477 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 113, 'attention_heads': 5, 'hidden_dimension': 205, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5583624108896541, 'global_pooling': 'mean', 'learning_rate': 0.0018503473406897453, 'weight_decay': 0.0007842972470321606, 'beta_0': 0.856739675138612, 'beta_1': 0.9980132494291797, 'epsilon': 1.8150418322953744e-07, 'balanced_loss': True, 'epochs': 193, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 17:13:33,528] Trial 98 finished with value: 0.6172716359672712 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 113, 'attention_heads': 5, 'hidden_dimension': 212, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5585557624476302, 'global_pooling': 'mean', 'learning_rate': 0.002537681162771753, 'weight_decay': 0.0008167223844859241, 'beta_0': 0.8616962893539326, 'beta_1': 0.9980321117412381, 'epsilon': 3.9010177826733304e-07, 'balanced_loss': True, 'epochs': 193, 'early_stopping_patience': 13, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 17:31:57,533] Trial 99 finished with value: 0.6327000658664922 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 113, 'attention_heads': 4, 'hidden_dimension': 204, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5725431152741983, 'global_pooling': 'mean', 'learning_rate': 0.0017339061378961772, 'weight_decay': 0.0005974373255115447, 'beta_0': 0.8698022355141689, 'beta_1': 0.9980559927684514, 'epsilon': 1.7697031273203747e-07, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 17:43:59,016] Trial 100 finished with value: 0.6244474536598839 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 2, 'batch_size': 105, 'attention_heads': 4, 'hidden_dimension': 179, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5481597808703608, 'global_pooling': 'mean', 'learning_rate': 0.0008512832208171958, 'weight_decay': 0.0006579876556097498, 'beta_0': 0.8555896474106457, 'beta_1': 0.9967882216267672, 'epsilon': 1.0180777642362363e-06, 'balanced_loss': True, 'epochs': 191, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
[I 2025-04-03 18:02:56,052] Trial 101 finished with value: 0.633127667251866 and parameters: {'left_stride': 64, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 102, 'attention_heads': 6, 'hidden_dimension': 232, 'number_of_hidden_layers': 1, 'dropout_rate': 0.581752229732143, 'global_pooling': 'mean', 'learning_rate': 0.005241771835953256, 'weight_decay': 0.00048020280003214616, 'beta_0': 0.850337987775171, 'beta_1': 0.996365861731594, 'epsilon': 2.1830553141764954e-07, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 97 with value: 0.6752887550206477.
