test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9522388059701492,0.9696969696969697,0.0019624610445392664,58,37
0.9492537313432836,0.9696969696969697,0.0019583716321347365,58,38
0.9522388059701492,0.9696969696969697,0.0019437889554607334,65,39
0.9522388059701492,0.9696969696969697,0.001950130889664835,58,40
0.9522388059701492,0.9757575757575757,0.0019442337662426393,78,41
0.9462686567164179,0.9757575757575757,0.0019500127479211609,82,42
0.9492537313432836,0.9696969696969697,0.001948114651352612,37,43
0.9462686567164179,0.9757575757575757,0.0019355403843210703,84,44
0.9402985074626866,0.9696969696969697,0.0019439070972044076,21,45
0.9492537313432836,0.9696969696969697,0.0019532922488539966,70,46
