test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9351305050333183,0.9323096295666077,0.0005796016651291236,72,37
0.9432979980275009,0.9511886985390645,0.0005786303463130305,92,38
0.9492228302472012,0.9569550965522047,0.0005796080912123428,77,39
0.9479206382244025,0.9437316737486391,0.0005809914417711226,76,40
0.9480297852912907,0.9448321569163631,0.0005796188739621514,79,41
0.9396276762407616,0.9625786204560675,0.000581417088096901,95,42
0.9314639637675626,0.9530665708441,0.0005795351170469713,87,43
0.9409229130511292,0.9393000542972217,0.0005798040322921983,62,44
0.9379845499826212,0.9335945056808737,0.0005813262515985132,47,45
0.9433223989958297,0.93982345475161,0.0005797057894606087,74,46
