test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9077301464579972,0.9529258302194643,0.00018755482342102693,38,37
0.9081371222285337,0.9447163038667121,0.00018806324641200276,25,38
0.9078403806294533,0.9449014502480745,0.0001871313554285432,40,39
0.9055468432771927,0.9382052700835943,0.00018786480024885838,27,40
0.934212992536798,0.9462193289179972,0.00018797774683018697,50,41
0.9125748227263697,0.9377491110396258,0.00018786175058224585,37,42
0.9108114479929772,0.9389013649560931,0.00018851361682067563,36,43
0.904718212372486,0.9452712575809956,0.0001892154758082181,45,44
0.9067913472059843,0.9454967300951309,0.000188840802481535,47,45
0.8989117029680251,0.9283798009457285,0.00018905438806107733,50,46
