test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.6219956357619455,0.6056697615395967,0.0007617041346993211,24,37
0.6245094104577941,0.5852524037575267,0.000760282586772578,23,38
0.6108407311957668,0.5780069856726918,0.0007621332645534201,21,39
0.6133776308930725,0.6092591785436224,0.0007623245065648043,24,40
0.600957014372543,0.6070868744150896,0.0007624379662101645,19,41
0.6170851416586193,0.6031370299120598,0.0007614583447815138,24,42
0.6227896603656952,0.5910860381474603,0.0007603414985115152,24,43
0.6256411109176274,0.6134218376714877,0.0007615777014978387,27,44
0.621719989663955,0.6044323597298645,0.0007595642055876621,26,45
0.6180345085024982,0.6356451018425574,0.0007622152928105386,25,46
