test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9026449071468767,0.9057665260196905,5.0573920559601365e-05,6,37
0.9006752954417557,0.9050632911392406,5.0832062003715825e-05,24,38
0.9023635340461452,0.9071729957805907,4.986564161808355e-05,13,39
0.8989870568373663,0.9071729957805907,5.0309674419173376e-05,19,40
0.9040517726505346,0.9015471167369902,5.011345203766745e-05,4,41
0.9037703995498031,0.9050632911392406,5.0398427311731444e-05,10,42
0.8998311761395611,0.9071729957805907,5.002127783179082e-05,11,43
0.8981429375351716,0.9057665260196905,5.013907834526925e-05,19,44
0.9023635340461452,0.9036568213783404,5.024688325709148e-05,11,45
0.9060213843556556,0.9050632911392406,4.9964658450597314e-05,9,46
