test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9462571466596368,0.9470046713063096,0.0005812463067665989,26,37
0.9468501245323677,0.9468731304525135,0.0005815298168449001,27,38
0.9405447474362258,0.9454533009181177,0.0005811386971018422,20,39
0.9356610791709532,0.9468680374686513,0.0005829399609032043,15,40
0.9458387427698084,0.9534999855614591,0.0005808034516077926,26,41
0.9445766499814578,0.962012810410668,0.0005821618602503484,31,42
0.9488978296318307,0.951612941807505,0.0005815316684282005,35,43
0.9413309015248537,0.9555784933828394,0.0005827988049057097,23,44
0.9497154748879886,0.9555510295524278,0.000582619745908888,25,45
0.9273666244378714,0.9443451024311429,0.0005824523409951926,30,46
