split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,170,130560,3916,563904,694464
train,1,187,143616,4738,682272,825888
train,2,188,144384,4789,689616,834000
train,3,148,113664,2968,427392,541056
train,4,87,66816,1026,147744,214560
train,5,145,111360,2849,410256,521616
train,6,74,56832,742,106848,163680
train,7,192,147456,4304,619776,767232
train,8,105,80640,1494,215136,295776
train,9,137,105216,2543,366192,471408
train,10,125,96000,2117,304848,400848
train,11,78,59904,825,118800,178704
train,12,171,131328,3962,570528,701856
train,13,142,109056,2732,393408,502464
train,14,155,119040,3255,468720,587760
train,15,96,73728,1249,179856,253584
train,16,171,131328,3962,570528,701856
train,17,131,100608,2325,334800,435408
train,18,171,131328,3962,570528,701856
train,19,67,51456,609,87696,139152
train,20,118,90624,1887,271728,362352
train,21,94,72192,1198,172512,244704
train,22,116,89088,1823,262512,351600
train,23,96,73728,1249,179856,253584
train,24,181,139008,4439,639216,778224
train,25,151,115968,3090,444960,560928
train,26,133,102144,2397,345168,447312
train,27,189,145152,4840,696960,842112
train,28,116,89088,1823,262512,351600
train,29,86,66048,1002,144288,210336
train,30,87,66816,1026,147744,214560
train,31,157,120576,3340,480960,601536
train,32,210,161280,5975,860400,1021680
train,33,222,170496,6196,892224,1062720
train,34,192,147456,4995,719280,866736
train,35,144,110592,2810,404640,515232
train,36,135,103680,2470,355680,459360
train,37,139,106752,2618,376992,483744
train,38,99,76032,1328,191232,267264
train,39,173,132864,4055,583920,716784
train,40,178,136704,4293,618192,754896
train,41,145,111360,2849,410256,521616
train,42,91,69888,1122,161568,231456
train,43,141,108288,2694,387936,496224
train,44,120,92160,1951,280944,373104
train,45,144,110592,2810,404640,515232
train,46,159,122112,3426,493344,615456
train,47,185,142080,4637,667728,809808
train,48,122,93696,2017,290448,384144
train,49,122,93696,2017,290448,384144
train,50,164,125952,3644,524736,650688
train,51,128,98304,2220,319680,417984
train,52,143,109824,2771,399024,508848
train,53,181,139008,4439,639216,778224
train,54,63,48384,538,77472,125856
train,55,103,79104,1438,207072,286176
train,56,106,81408,1523,219312,300720
train,57,166,127488,3734,537696,665184
train,58,219,168192,6498,935712,1103904
train,59,186,142848,4522,651168,794016
train,60,125,96000,2117,304848,400848
train,61,117,89856,1855,267120,356976
train,62,194,148992,5100,734400,883392
train,63,179,137472,4341,625104,762576
train,64,152,116736,3131,450864,567600
train,65,132,101376,2361,339984,441360
train,66,68,52224,627,90288,142512
train,67,70,53760,664,95616,149376
train,68,131,100608,2325,334800,435408
train,69,190,145920,4891,704304,850224
train,70,136,104448,2506,360864,465312
train,71,114,87552,1761,253584,341136
train,72,66,50688,591,85104,135792
train,73,136,104448,2506,360864,465312
train,74,98,75264,1302,187488,262752
train,75,57,43776,441,63504,107280
train,76,184,141312,4587,660528,801840
train,77,158,121344,3383,487152,608496
train,78,201,154368,5474,788256,942624
train,79,127,97536,2186,314784,412320
train,80,197,151296,5258,757152,908448
train,81,164,125952,3644,524736,650688
train,82,121,92928,1984,285696,378624
train,83,223,171264,6738,970272,1141536
train,84,191,146688,4943,711792,858480
train,85,82,62976,911,131184,194160
train,86,164,125952,3644,524736,650688
train,87,111,85248,1670,240480,325728
train,88,166,127488,3734,537696,665184
train,89,203,155904,5584,804096,960000
train,90,167,128256,3779,544176,672432
train,91,142,109056,2732,393408,502464
train,92,232,178176,6317,909648,1087824
train,93,126,96768,2151,309744,406512
train,94,91,69888,1122,161568,231456
train,95,195,149760,5152,741888,891648
train,96,171,131328,3962,570528,701856
train,97,96,73728,1249,179856,253584
train,98,174,133632,4102,590688,724320
train,99,88,67584,1050,151200,218784
train,100,163,125184,3600,518400,643584
train,101,120,92160,1951,280944,373104
train,102,134,102912,2433,350352,453264
train,103,134,102912,2433,350352,453264
train,104,180,138240,4390,632160,770400
train,105,164,125952,3644,524736,650688
train,106,89,68352,1074,154656,223008
train,107,125,96000,2117,304848,400848
train,108,132,101376,2361,339984,441360
train,109,115,88320,1792,258048,346368
train,110,113,86784,1730,249120,335904
train,111,95,72960,1223,176112,249072
train,112,188,144384,4789,689616,834000
train,113,174,133632,4102,590688,724320
train,114,97,74496,1275,183600,258096
train,115,207,158976,5806,836064,995040
train,116,198,152064,5312,764928,916992
train,117,169,129792,3870,557280,687072
train,118,97,74496,1275,183600,258096
train,119,175,134400,4150,597600,732000
train,120,169,129792,3610,519840,649632
train,121,118,90624,1887,271728,362352
train,122,108,82944,1581,227664,310608
train,123,150,115200,3049,439056,554256
train,124,155,119040,3255,468720,587760
train,125,100,76800,1355,195120,271920
train,126,72,55296,703,101232,156528
train,127,101,77568,1382,199008,276576
train,128,119,91392,1919,276336,367728
train,129,194,148992,5100,734400,883392
train,130,121,92928,1984,285696,378624
train,131,177,135936,4245,611280,747216
train,132,125,96000,2117,304848,400848
train,133,140,107520,2656,382464,489984
train,134,89,68352,1074,154656,223008
train,135,86,66048,1002,144288,210336
train,136,106,81408,1523,219312,300720
train,137,167,128256,3779,544176,672432
train,138,179,137472,3776,543744,681216
train,139,185,142080,4637,667728,809808
train,140,162,124416,3556,512064,636480
train,141,114,87552,1761,253584,341136
train,142,120,92160,1951,280944,373104
train,143,116,89088,1823,262512,351600
train,144,164,125952,3644,524736,650688
train,145,147,112896,2928,421632,534528
train,146,62,47616,521,75024,122640
train,147,105,80640,1494,215136,295776
train,148,151,115968,3090,444960,560928
train,149,118,90624,1887,271728,362352
train,150,149,114432,3008,433152,547584
train,151,68,52224,627,90288,142512
train,152,134,102912,2433,350352,453264
train,153,186,142848,4688,675072,817920
train,154,135,103680,2470,355680,459360
train,155,130,99840,2290,329760,429600
train,156,150,115200,3049,439056,554256
train,157,221,169728,6618,952992,1122720
train,158,148,113664,2968,427392,541056
train,159,139,106752,2618,376992,483744
train,160,78,59904,825,118800,178704
train,161,105,80640,1494,215136,295776
train,162,108,82944,1581,227664,310608
train,163,83,63744,934,134496,198240
train,164,209,160512,5919,852336,1012848
train,165,184,141312,4587,660528,801840
train,166,177,135936,4245,611280,747216
train,167,95,72960,1223,176112,249072
train,168,77,59136,804,115776,174912
train,169,55,42240,410,59040,101280
train,170,91,69888,1122,161568,231456
train,171,169,129792,3870,557280,687072
train,172,98,75264,1302,187488,262752
train,173,187,143616,4738,682272,825888
train,174,158,121344,3383,487152,608496
train,175,154,118272,3214,462816,581088
train,176,138,105984,2581,371664,477648
train,177,176,135168,4197,604368,739536
train,178,191,146688,4943,711792,858480
train,179,146,112128,2888,415872,528000
train,180,154,118272,3214,462816,581088
train,181,53,40704,381,54864,95568
train,182,76,58368,783,112752,171120
train,183,136,104448,2506,360864,465312
train,184,130,99840,2290,329760,429600
train,185,174,133632,4102,590688,724320
train,186,131,100608,2325,334800,435408
train,187,165,126720,3689,531216,657936
train,188,152,116736,3131,450864,567600
train,189,129,99072,2255,324720,423792
train,190,219,168192,6498,935712,1103904
