[I 2024-11-28 06:11:39,081] A new study created in RDB with name: Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-Layer-wise_Aggregation
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-28 08:21:48,881] Trial 10 finished with value: 0.22107050192590166 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9967650044870775, 'batch_size': 35, 'attention_heads': 9, 'hidden_dimension': 48, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3977762266143904, 'global_pooling': 'sum', 'learning_rate': 4.519442811197253e-05, 'weight_decay': 1.391414427795109e-05, 'beta_0': 0.8215105131549126, 'beta_1': 0.9849479143747095, 'epsilon': 5.948652419846486e-07, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 1 with value: 0.5480008201612453.
[I 2024-11-28 08:36:10,273] Trial 11 finished with value: 0.5674060477854809 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8067168411280451, 'batch_size': 106, 'attention_heads': 4, 'hidden_dimension': 252, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5093183654188389, 'global_pooling': 'max', 'learning_rate': 0.00012386356736714718, 'weight_decay': 2.511405901881224e-05, 'beta_0': 0.8994794194881102, 'beta_1': 0.9951767732392878, 'epsilon': 1.5282726063969226e-06, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 11 with value: 0.5674060477854809.
[I 2024-11-28 08:49:20,130] Trial 12 finished with value: 0.5674719986533457 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8137059665546146, 'batch_size': 106, 'attention_heads': 4, 'hidden_dimension': 250, 'number_of_hidden_layers': 0, 'dropout_rate': 0.513663632952387, 'global_pooling': 'max', 'learning_rate': 0.00011292643020568445, 'weight_decay': 2.16270035595765e-05, 'beta_0': 0.8489397463775049, 'beta_1': 0.9986611516981762, 'epsilon': 3.1914768556465596e-06, 'balanced_loss': False, 'epochs': 93, 'early_stopping_patience': 20, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 12 with value: 0.5674719986533457.
[I 2024-11-28 09:18:41,664] Trial 13 finished with value: 0.5564902907457177 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8021700833161449, 'batch_size': 104, 'attention_heads': 7, 'hidden_dimension': 256, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5189708521711761, 'global_pooling': 'max', 'learning_rate': 3.665353273474652e-05, 'weight_decay': 1.9871782886417332e-05, 'beta_0': 0.8955458485549185, 'beta_1': 0.9985826163810505, 'epsilon': 1.883767727449406e-05, 'balanced_loss': False, 'epochs': 93, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 12 with value: 0.5674719986533457.
[I 2024-11-28 09:31:18,525] Trial 14 finished with value: 0.5830402961694857 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8073304293743692, 'batch_size': 105, 'attention_heads': 4, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5182611788035248, 'global_pooling': 'max', 'learning_rate': 0.00045978127354703695, 'weight_decay': 9.08581703614988e-06, 'beta_0': 0.8527856485493529, 'beta_1': 0.9950845833799403, 'epsilon': 8.449946744593378e-07, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 14 with value: 0.5830402961694857.
[I 2024-11-28 09:42:36,511] Trial 15 finished with value: 0.5781241690123878 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8299602936273466, 'batch_size': 101, 'attention_heads': 4, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4220813689450135, 'global_pooling': 'max', 'learning_rate': 0.0005567397883504541, 'weight_decay': 6.992934972302667e-06, 'beta_0': 0.8547513056737355, 'beta_1': 0.9946506297224307, 'epsilon': 3.555047907956901e-07, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 14 with value: 0.5830402961694857.
[I 2024-11-28 09:56:10,621] Trial 16 finished with value: 0.4873866822418053 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8366671810066327, 'batch_size': 94, 'attention_heads': 7, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4276209058285084, 'global_pooling': 'sum', 'learning_rate': 0.0007560231743620299, 'weight_decay': 6.170379185015804e-06, 'beta_0': 0.858155457419913, 'beta_1': 0.9940941165113897, 'epsilon': 3.0551483517330353e-07, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 14 with value: 0.5830402961694857.
[I 2024-11-28 10:10:03,949] Trial 17 finished with value: 0.03537125975309869 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8295553071662841, 'batch_size': 53, 'attention_heads': 8, 'hidden_dimension': 178, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4240024970648684, 'global_pooling': 'max', 'learning_rate': 0.009979551708709124, 'weight_decay': 5.395990342009608e-06, 'beta_0': 0.8434829525730748, 'beta_1': 0.9950000148779256, 'epsilon': 2.7494376052367026e-07, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 14 with value: 0.5830402961694857.
[I 2024-11-28 10:21:44,427] Trial 18 finished with value: 0.5377930283234994 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8237943683052631, 'batch_size': 94, 'attention_heads': 5, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5772712347497964, 'global_pooling': 'max', 'learning_rate': 0.0004067087017057776, 'weight_decay': 6.403067271899226e-05, 'beta_0': 0.8622998965415634, 'beta_1': 0.9929433659457952, 'epsilon': 6.314000558306838e-07, 'balanced_loss': True, 'epochs': 75, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 14 with value: 0.5830402961694857.
[I 2024-11-28 10:32:35,358] Trial 19 finished with value: 0.5458123944168632 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8520118207278381, 'batch_size': 114, 'attention_heads': 4, 'hidden_dimension': 76, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5442747175498026, 'global_pooling': 'max', 'learning_rate': 0.0013631506709876884, 'weight_decay': 9.50051073786701e-06, 'beta_0': 0.8766267874498159, 'beta_1': 0.996431222384938, 'epsilon': 1.2081210399818732e-05, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 14 with value: 0.5830402961694857.
