[I 2024-12-03 05:07:08,267] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 08:16:49,333] Trial 93 finished with value: 0.5722173691316523 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8229103723983917, 'batch_size': 122, 'attention_heads': 5, 'hidden_dimension': 149, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5942291344308782, 'global_pooling': 'max', 'learning_rate': 0.0005728339958435437, 'weight_decay': 3.370352853508617e-05, 'beta_0': 0.8196111694689824, 'beta_1': 0.9872844339930797, 'epsilon': 8.36060330143637e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 90 with value: 0.6149888929724707.
[I 2024-12-03 08:28:44,517] Trial 94 finished with value: 0.6067221299186377 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8417821392616972, 'batch_size': 42, 'attention_heads': 4, 'hidden_dimension': 190, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5536603551434855, 'global_pooling': 'max', 'learning_rate': 0.00038598088290596027, 'weight_decay': 2.5688988656991627e-05, 'beta_0': 0.8245158557941393, 'beta_1': 0.9831591499350333, 'epsilon': 1.8758487313447604e-08, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 90 with value: 0.6149888929724707.
[I 2024-12-03 08:39:33,358] Trial 95 finished with value: 0.5912128642829376 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8554237193099835, 'batch_size': 38, 'attention_heads': 4, 'hidden_dimension': 160, 'number_of_hidden_layers': 1, 'dropout_rate': 0.555753900908901, 'global_pooling': 'max', 'learning_rate': 0.0004293992157134263, 'weight_decay': 4.480744409001328e-05, 'beta_0': 0.8248480582862694, 'beta_1': 0.9832938790357776, 'epsilon': 1.7493333046298533e-08, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 90 with value: 0.6149888929724707.
[I 2024-12-03 08:52:20,372] Trial 96 finished with value: 0.6034843137639448 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8436895650832219, 'batch_size': 41, 'attention_heads': 4, 'hidden_dimension': 175, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5414179480644511, 'global_pooling': 'max', 'learning_rate': 0.00035476695011614815, 'weight_decay': 2.417915946736846e-05, 'beta_0': 0.8307576258927352, 'beta_1': 0.9821382266069797, 'epsilon': 1.0729938692475281e-08, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 90 with value: 0.6149888929724707.
[I 2024-12-03 09:05:36,471] Trial 97 finished with value: 0.6049718886578593 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8493668481110522, 'batch_size': 42, 'attention_heads': 4, 'hidden_dimension': 175, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5368609616992284, 'global_pooling': 'max', 'learning_rate': 0.0002610032109208204, 'weight_decay': 2.4899061263021277e-05, 'beta_0': 0.8319562650526037, 'beta_1': 0.9821374230388346, 'epsilon': 1.010065294406634e-08, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 90 with value: 0.6149888929724707.
[I 2024-12-03 09:20:07,957] Trial 98 finished with value: 0.6201891324552249 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.842765759389617, 'batch_size': 41, 'attention_heads': 4, 'hidden_dimension': 190, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5350291293390496, 'global_pooling': 'max', 'learning_rate': 0.0002210741178618587, 'weight_decay': 2.6568534670760456e-05, 'beta_0': 0.8363966953863355, 'beta_1': 0.9820253846921392, 'epsilon': 1.2816599710392531e-08, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 09:34:21,235] Trial 99 finished with value: 0.5803533475608992 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8631132212313424, 'batch_size': 42, 'attention_heads': 4, 'hidden_dimension': 175, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5265345294346504, 'global_pooling': 'max', 'learning_rate': 0.0001466223996373138, 'weight_decay': 1.995109867722092e-05, 'beta_0': 0.8368242995254551, 'beta_1': 0.9821033173481186, 'epsilon': 1.9701422503855363e-08, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 09:48:46,038] Trial 100 finished with value: 0.5850857407200903 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.842014415710392, 'batch_size': 49, 'attention_heads': 4, 'hidden_dimension': 187, 'number_of_hidden_layers': 1, 'dropout_rate': 0.537320007129369, 'global_pooling': 'max', 'learning_rate': 0.0002005654581827628, 'weight_decay': 1.0758219125408817e-05, 'beta_0': 0.8313810176532315, 'beta_1': 0.9827018592505695, 'epsilon': 1.2967249678802868e-08, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 10:01:27,799] Trial 101 finished with value: 0.5986029851866048 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8489363917020837, 'batch_size': 96, 'attention_heads': 4, 'hidden_dimension': 197, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5023690469595301, 'global_pooling': 'max', 'learning_rate': 0.00048041870244876277, 'weight_decay': 2.3056979005268252e-05, 'beta_0': 0.8361071994983366, 'beta_1': 0.9816005453486261, 'epsilon': 2.360607474649904e-08, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
[I 2024-12-03 10:14:28,449] Trial 102 finished with value: 0.6092549385159214 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8696667566890238, 'batch_size': 41, 'attention_heads': 4, 'hidden_dimension': 215, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5475620018595391, 'global_pooling': 'max', 'learning_rate': 0.0002663542624491991, 'weight_decay': 2.6253329866238956e-05, 'beta_0': 0.8302177765365227, 'beta_1': 0.9828308001095775, 'epsilon': 1.519254804379901e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 98 with value: 0.6201891324552249.
